,date,fare,distance,duration,number of ride
0,2016-06-15,120.52,52867,5128,4
1,2016-04-27,192.17000000000002,77503,8300,6
2,2016-05-05,141.95,48787,5689,7
3,2016-06-22,232.43,79181,9213,12
4,2016-05-31,44.14,17181,1789,2
5,2016-05-12,68.33,14019,2682,4
6,2016-06-11,42.9,11731,1763,2
7,2016-06-25,106.64999999999999,29202,4182,6
8,2016-06-08,153.08999999999997,44064,6303,7
9,2016-04-26,71.38,23746,2772,4
10,2016-04-25,59.85,23772,2130,4
11,2016-05-13,17.85,3058,714,1
12,2016-06-09,81.96,29746,3477,3
13,2016-05-06,99.07,30842,4166,4
14,2016-06-21,123.11999999999999,36467,4989,6
15,2016-06-01,231.01,94051,9620,9
16,2016-05-14,83.36,21613,3412,4
17,2016-06-03,180.77,69199,7569,7
18,2016-06-17,102.27,38897,4472,3
19,2016-05-07,58.46,17244,1949,5
20,2016-06-23,266.85999999999996,83276,11373,10
21,2016-06-16,163.8,62310,6732,7
22,2016-05-29,131.70000000000002,39318,5221,7
23,2016-06-07,29.05,9876,1054,2
24,2016-06-02,148.03,44341,6429,5
25,2016-05-26,137.32,35584,5542,7
26,2016-06-12,132.33,56031,5330,6
27,2016-06-24,113.12,47260,4586,5
28,2016-06-10,86.04,13676,3413,5
29,2016-06-14,149.08,48447,6454,5
30,2016-05-27,190.32999999999998,67140,7886,8
31,2016-06-26,73.55,21761,3095,3
32,2016-06-05,14.38,3850,527,1
33,2016-04-28,39.62,16330,1364,3
34,2016-04-30,32.08,13757,1184,2
35,2016-05-28,31.1,7773,1176,2
36,2016-05-11,64.27,22967,2407,4
37,2016-04-29,157.83999999999997,57636,6650,6
38,2016-05-03,38.76,31789,1600,1
39,2016-05-10,37.04,22016,1580,1
