,date,fare,distance,duration,number of ride
0,2016-05-27,307.16999999999996,117833,12448,14
1,2016-05-16,319.30000000000007,83370,12739,17
2,2016-06-15,343.13,110024,13987,16
3,2016-06-16,270.84000000000003,116621,10951,12
4,2016-05-26,226.55,134390,9296,8
5,2016-06-17,203.72000000000003,50352,7921,12
6,2016-05-20,337.99,145383,13662,15
7,2016-06-06,297.73,86992,11979,15
8,2016-05-25,326.06,109120,13299,15
9,2016-06-03,272.71000000000004,97537,10794,14
10,2016-06-22,171.29000000000002,48488,6634,10
11,2016-05-14,174.08000000000004,54571,7128,8
12,2016-05-21,112.27000000000001,72348,4559,4
13,2016-06-13,192.4,56170,7290,12
14,2016-06-10,227.32999999999996,55491,8922,13
15,2016-06-12,170.41000000000003,98730,6621,8
16,2016-06-09,259.06,92571,10509,12
17,2016-06-14,215.35,76835,8927,9
18,2016-05-30,230.71,126542,9178,10
19,2016-06-01,216.57000000000002,80412,8574,11
20,2016-06-20,234.91,88636,9276,12
21,2016-06-07,313.99000000000007,89091,12421,17
22,2016-05-31,190.98000000000002,51793,7834,9
23,2016-06-23,200.52,97720,8199,8
24,2016-06-02,195.87,75854,7722,10
25,2016-06-24,229.23,74250,9278,11
26,2016-05-18,229.07000000000002,81757,9607,9
27,2016-06-18,101.91,70783,4421,2
28,2016-05-23,139.03,118519,5626,4
