,date,fare,distance,duration,number of ride
0,2016-04-27,263.88000000000005,87367,10796,12
1,2016-06-16,319.91999999999996,74312,12835,17
2,2016-05-25,134.26,27963,5240,8
3,2016-06-04,114.42999999999999,32884,4758,5
4,2016-06-11,376.05,97754,15205,19
5,2016-05-19,267.7,67201,11531,10
6,2016-05-26,261.54999999999995,57210,10694,13
7,2016-06-09,241.08,70914,10116,10
8,2016-06-03,291.52,57735,11809,15
9,2016-04-22,98.39,36879,3892,5
10,2016-06-02,124.21,25193,4673,8
11,2016-06-17,253.79,67054,10220,13
12,2016-04-28,344.1400000000001,96287,14138,16
13,2016-06-10,187.97,41575,7359,11
14,2016-04-23,12.82,3687,447,1
15,2016-04-24,57.95,17728,2310,3
16,2016-06-15,81.19,11915,3173,5
17,2016-06-18,141.98,22556,5877,7
18,2016-04-29,68.18,12892,2878,3
19,2016-05-08,167.78999999999996,39622,6711,9
20,2016-05-01,92.03999999999999,30796,3409,6
21,2016-04-30,318.96000000000004,58585,13442,14
22,2016-05-15,11.15,1539,375,1
23,2016-06-12,86.61,22564,3184,6
24,2016-05-20,218.39000000000004,47537,8707,12
25,2016-05-31,84.44,20703,3280,5
26,2016-05-22,86.92,22271,3203,6
27,2016-05-21,237.05,51306,10045,10
28,2016-04-21,21.56,9295,863,1
29,2016-06-22,10.28,1349,331,1
30,2016-05-02,18.81,4766,752,1
31,2016-05-05,163.68,115093,6741,5
32,2016-05-27,92.78999999999999,52566,4075,2
33,2016-06-08,80.57,16554,3303,4
