,date,fare,distance,duration,number of ride
0,2016-06-25,274.53999999999996,56035,10597,17
1,2016-06-08,132.02,23279,5352,7
2,2016-06-10,123.89,26090,4516,9
3,2016-06-11,238.36999999999995,44403,9380,14
4,2016-05-18,107.65,49770,4283,5
5,2016-06-12,233.76999999999998,54436,8873,15
6,2016-06-26,166.72000000000003,37142,6478,10
7,2016-05-09,166.32,41081,6624,9
8,2016-06-24,59.989999999999995,8801,2284,4
9,2016-06-19,290.51,90645,10989,18
10,2016-05-17,160.73000000000002,62403,5985,10
11,2016-06-05,113.17,32078,4502,6
12,2016-06-13,188.93,66519,7426,10
13,2016-05-19,137.04,27967,5581,7
14,2016-06-20,173.45999999999998,99185,7169,6
15,2016-06-17,87.41000000000001,15265,3669,4
16,2016-06-21,131.81,37922,5237,7
17,2016-05-11,113.11000000000001,25335,3960,9
18,2016-06-16,38.29,8144,1548,2
19,2016-06-09,28.67,5269,1067,2
20,2016-06-18,330.74,100948,13797,14
21,2016-05-16,64.44,21082,2429,4
22,2016-06-22,180.48000000000002,36190,7005,11
23,2016-05-10,81.35000000000001,21273,3114,5
24,2016-05-12,73.63,36428,2995,3
25,2016-05-06,18.05,4344,715,1
26,2016-05-15,88.04,18024,3486,5
27,2016-05-13,78.44,31627,3084,4
28,2016-06-07,168.0,39381,6527,10
29,2016-05-14,140.10999999999999,28443,5347,9
30,2016-05-07,36.19,11036,1418,2
31,2016-05-20,57.28,20248,2257,3
