,date,fare,distance,duration,number of ride
0,2016-05-22,270.28,71410,10853,14
1,2016-05-09,105.11,21842,3762,8
2,2016-06-20,165.75999999999996,68832,6397,9
3,2016-06-02,193.4,61820,8280,7
4,2016-06-21,128.51999999999998,46026,5008,7
5,2016-05-08,212.03999999999996,66421,8632,10
6,2016-06-05,252.00000000000003,98350,9708,14
7,2016-05-26,128.68,60727,4716,8
8,2016-06-01,151.71,41218,6056,8
9,2016-05-21,153.24,47726,6090,8
10,2016-06-03,183.26999999999998,56664,7201,10
11,2016-05-25,201.85000000000005,52921,7415,14
12,2016-05-07,250.89000000000001,71572,9422,16
13,2016-05-27,76.64,29266,3203,3
14,2016-05-13,132.83,44377,5048,8
15,2016-06-07,24.56,19841,944,1
16,2016-06-18,115.75,35837,4806,5
17,2016-05-14,141.67000000000002,47496,5488,8
18,2016-05-19,76.17,22870,3028,4
19,2016-05-23,125.33000000000001,52878,4988,6
20,2016-05-11,179.48999999999995,46643,6880,11
21,2016-05-15,235.51,59414,9515,12
22,2016-05-17,141.14999999999998,37849,5920,6
23,2016-05-18,133.3,39099,5111,8
24,2016-06-23,109.93,30297,4345,6
25,2016-05-12,170.48,50608,6381,11
26,2016-05-10,280.07,78311,10924,16
27,2016-05-28,139.49,31151,5294,9
28,2016-06-04,255.35000000000002,102955,10045,13
29,2016-06-22,80.59,34201,3178,4
30,2016-05-31,144.55,53414,5791,7
31,2016-05-29,44.5,17026,1809,2
32,2016-05-16,67.12,29255,2902,2
33,2016-05-30,101.97,47831,4001,5
34,2016-05-24,51.7,20837,1962,3
35,2016-06-17,36.5,11216,1433,2
36,2016-05-20,7.51,990,189,1
