,date,fare,distance,duration,number of ride
0,2016-04-17,36.26,10970,1422,2
1,2016-04-04,65.25,22397,2658,3
2,2016-06-02,56.03,12387,2248,3
3,2016-04-06,19.67,4840,796,1
4,2016-06-01,37.17,8754,1486,2
5,2016-04-21,85.47,19689,3732,3
6,2016-05-14,42.87,20778,1893,1
7,2016-06-06,36.870000000000005,13376,1437,2
8,2016-04-27,58.56,25239,2484,2
9,2016-05-05,81.62,17720,3545,3
10,2016-04-25,48.8,21291,2003,2
11,2016-05-19,36.6,15246,1605,1
12,2016-04-07,39.209999999999994,8287,1595,2
13,2016-05-06,13.03,6082,441,1
14,2016-05-31,37.01,10971,1657,1
15,2016-04-19,63.93,37144,2875,1
16,2016-04-08,30.17,7402,1130,2
17,2016-04-28,11.55,7257,355,1
18,2016-05-09,18.75,11174,703,1
19,2016-05-10,21.39,4426,889,1
20,2016-05-02,15.85,4261,601,1
