,date,fare,distance,duration,number of ride
0,2016-05-11,205.76000000000002,47763,8829,8
1,2016-04-21,205.54999999999998,49834,8999,7
2,2016-05-12,216.35999999999999,31973,9691,7
3,2016-06-20,172.72000000000003,50321,6892,9
4,2016-06-10,139.79000000000002,32963,5884,6
5,2016-05-09,155.46,33042,6310,8
6,2016-06-14,53.22,11802,1910,4
7,2016-06-24,154.32999999999998,48459,6728,5
8,2016-05-05,115.16,25833,4846,5
9,2016-05-07,108.24000000000001,18986,4338,6
10,2016-06-22,121.98,26636,5000,6
11,2016-04-22,206.85,33340,8598,10
12,2016-06-03,165.95000000000002,33119,6857,8
13,2016-06-11,376.3500000000001,175020,15062,17
14,2016-04-26,167.9,53751,7203,6
15,2016-05-04,352.01,129706,15679,9
16,2016-04-27,68.03,10364,2693,4
17,2016-05-26,114.71999999999998,18700,4678,6
18,2016-06-16,192.92000000000002,39490,8218,8
19,2016-05-19,44.91,18884,2013,1
20,2016-06-02,199.91,52961,8096,10
21,2016-06-06,100.34,19983,4114,5
22,2016-06-07,61.1,14904,2299,4
23,2016-05-03,82.78999999999999,13196,3639,3
24,2016-06-04,157.38000000000002,41322,5959,10
25,2016-05-25,158.32999999999998,39109,6612,7
26,2016-06-09,144.78,63391,5732,7
27,2016-05-21,24.32,6627,1026,1
28,2016-04-25,83.38,14933,3461,4
29,2016-05-31,106.0,45217,4621,3
30,2016-06-01,61.09,29506,2390,3
31,2016-06-26,111.82999999999998,30817,4832,4
32,2016-06-23,158.46,29004,7082,5
33,2016-05-18,198.61,60091,8759,6
34,2016-06-05,83.47999999999999,23746,3404,4
35,2016-05-20,103.92,39915,4550,3
36,2016-05-16,118.64000000000001,35662,4957,5
37,2016-06-21,203.99,55096,8489,9
38,2016-06-15,20.740000000000002,4000,662,2
39,2016-05-06,85.81,19565,3751,3
40,2016-05-24,20.69,6429,838,1
41,2016-05-27,88.21000000000001,23918,3845,3
42,2016-06-17,60.05,13273,2256,4
43,2016-05-28,53.81,21320,2068,3
