,date,fare,distance,duration,number of ride
0,2016-06-19,346.57,98269,13665,19
1,2016-05-27,285.89000000000004,69281,11292,16
2,2016-05-09,149.36,59999,5800,8
3,2016-06-08,231.79999999999998,37481,8892,15
4,2016-05-29,340.76,86487,13640,18
5,2016-06-05,414.03999999999996,148334,16239,22
6,2016-06-14,209.88,81416,8413,10
7,2016-06-12,197.73999999999998,71060,7853,10
8,2016-06-26,296.16,89596,11487,17
9,2016-06-15,197.42,43535,8034,10
10,2016-05-26,369.40999999999997,74617,15025,19
11,2016-06-02,387.78,102255,15394,21
12,2016-06-23,171.08,25957,7175,8
13,2016-06-17,324.37,96719,13299,15
14,2016-06-20,211.37,95876,8975,7
15,2016-06-24,550.9099999999999,152209,22571,26
16,2016-06-18,346.65,104545,14405,15
17,2016-05-07,237.70000000000005,48414,9317,14
18,2016-06-01,384.12,96720,15438,20
19,2016-06-11,431.94,82979,17640,22
20,2016-06-16,163.86,44159,6474,9
21,2016-06-03,369.32,138060,14371,20
22,2016-05-28,397.44000000000005,107305,16058,20
23,2016-04-26,191.79000000000002,47128,7910,9
24,2016-06-04,479.55000000000007,144524,19489,23
25,2016-04-27,192.51,46663,8146,8
26,2016-05-05,177.89,28787,7315,9
27,2016-04-29,181.8,36397,7269,10
28,2016-06-25,552.8300000000002,164284,24933,14
29,2016-05-30,79.11,39784,3257,3
30,2016-05-31,219.64,42928,8610,13
31,2016-06-06,305.57,120263,12346,14
32,2016-05-11,54.31,10003,2175,3
33,2016-06-07,229.56,59217,9540,10
34,2016-06-10,221.11,114700,8762,10
35,2016-05-13,251.04,64130,10684,10
36,2016-04-30,177.73,47076,7372,8
37,2016-05-12,66.94,13362,2614,4
38,2016-06-09,266.78,56861,10774,14
39,2016-04-28,362.54999999999995,93306,14728,18
40,2016-05-06,163.86,87097,6754,6
41,2016-05-25,52.25,12652,1853,4
42,2016-05-04,129.43,47224,5438,5
43,2016-05-14,179.49,50372,7245,9
44,2016-05-10,12.57,1160,452,1
