,date,fare,distance,duration,number of ride
0,2016-06-12,183.60999999999999,64384,7751,7
1,2016-04-28,89.18,28204,3473,5
2,2016-04-24,51.989999999999995,24212,1953,3
3,2016-04-16,160.86,33173,6591,8
4,2016-04-09,117.8,22065,4815,6
5,2016-06-21,52.580000000000005,18603,1828,4
6,2016-04-08,137.43,65901,5527,6
7,2016-04-12,186.00999999999996,31200,7135,12
8,2016-04-06,104.46000000000001,32894,4237,5
9,2016-06-26,162.79000000000002,36107,6475,9
10,2016-04-03,93.84,28673,3909,4
11,2016-04-15,74.02000000000001,27538,2883,4
12,2016-04-18,11.07,2674,363,1
13,2016-06-13,166.15,65092,6835,7
14,2016-04-29,142.93,32437,6052,6
15,2016-05-24,99.49,26594,4023,5
16,2016-06-17,215.56000000000003,76458,8683,10
17,2016-04-25,124.54,76921,5362,3
18,2016-06-08,127.47,42212,5176,6
19,2016-06-01,123.37000000000002,41165,4969,6
20,2016-06-22,86.16999999999999,49082,3363,4
21,2016-06-10,154.64,41832,6558,6
22,2016-04-26,161.43,54278,6275,9
23,2016-05-02,185.22000000000003,79274,7337,9
24,2016-06-02,67.17,15628,2806,3
25,2016-04-22,138.82,47989,5531,7
26,2016-04-11,121.66999999999999,38095,4902,6
27,2016-06-03,113.89999999999999,55449,4569,5
28,2016-04-05,177.76000000000002,43443,7400,8
29,2016-04-27,173.76,52070,7325,7
30,2016-05-28,21.45,11984,838,1
31,2016-05-30,129.29,90683,5316,4
32,2016-06-06,86.74000000000001,27046,3941,2
33,2016-06-14,173.37,78035,7315,6
34,2016-06-09,70.34,25061,2904,3
35,2016-04-01,94.14999999999999,25437,3948,4
36,2016-04-10,158.03000000000003,57772,6073,9
37,2016-04-19,73.21000000000001,19188,2900,4
38,2016-03-31,19.51,1747,810,1
39,2016-06-15,25.39,6587,1082,1
40,2016-05-14,22.6,11119,904,1
41,2016-04-23,32.6,13788,1407,1
42,2016-05-12,166.42,62724,7257,5
43,2016-06-25,94.85,63104,3912,3
44,2016-04-02,65.69,14145,2739,3
45,2016-04-30,11.81,4726,387,1
46,2016-04-07,34.56,5914,1370,2
47,2016-06-07,38.48,19463,1673,1
48,2016-06-16,43.89,19939,1756,2
