,date,fare,distance,duration,number of ride
0,2016-06-10,52.06,19218,1992,3
1,2016-04-06,96.37,41095,3757,5
2,2016-04-08,202.95999999999998,57028,8226,10
3,2016-04-26,69.19,13261,2929,3
4,2016-04-12,212.07000000000005,95332,8624,9
5,2016-06-08,167.59,41384,6688,9
6,2016-04-19,241.27999999999997,57327,10419,9
7,2016-06-25,178.06,69677,6837,10
8,2016-04-29,212.17,72439,8597,10
9,2016-06-17,144.95000000000002,47833,6243,5
10,2016-04-28,189.96,58050,7932,8
11,2016-06-07,131.9,53113,5134,7
12,2016-05-30,126.24,98308,4907,5
13,2016-06-13,152.18,83313,5976,7
14,2016-05-06,137.05,27133,5392,8
15,2016-04-13,318.38999999999993,104798,12342,18
16,2016-06-16,76.71,13283,3125,4
17,2016-06-18,75.27,17796,3018,4
18,2016-06-22,198.66000000000003,38141,8136,10
19,2016-06-14,182.09,44937,7419,9
20,2016-04-21,299.82,92193,13224,9
21,2016-04-15,118.57999999999998,25131,4442,8
22,2016-04-11,102.63,28302,3979,6
23,2016-04-27,95.82,57215,3613,5
24,2016-06-12,211.99,65478,8833,9
25,2016-06-23,86.96000000000001,21216,3408,5
26,2016-05-03,29.14,8135,1071,2
27,2016-05-07,37.0,6770,1491,2
28,2016-04-22,226.61,45331,8957,13
29,2016-04-07,43.94,14250,1604,3
30,2016-06-15,204.54,90798,8263,9
31,2016-06-24,35.27,7602,1199,3
32,2016-06-20,42.959999999999994,11161,1575,3
33,2016-06-06,41.19,13168,1468,3
34,2016-04-14,102.33000000000001,36800,4294,4
35,2016-04-20,91.61,48193,3653,4
36,2016-05-27,107.91,34204,4408,5
37,2016-04-10,42.879999999999995,17953,1522,3
38,2016-06-09,89.58,45338,3764,3
39,2016-04-18,10.77,3007,345,1
