,date,fare,distance,duration,number of ride
0,2016-05-24,117.16,68531,5037,3
1,2016-06-10,280.79,100722,11193,14
2,2016-06-13,156.36,75692,6248,7
3,2016-05-29,96.78,32121,3646,6
4,2016-05-09,159.75,114377,6345,6
5,2016-06-21,97.9,31805,3707,6
6,2016-05-16,127.32,87834,4842,6
7,2016-06-14,27.130000000000003,10782,947,2
8,2016-06-23,73.08,19546,2695,5
9,2016-06-18,305.90999999999997,170413,12593,11
10,2016-06-17,218.76000000000002,54395,8090,15
11,2016-06-08,59.99,43282,2430,2
12,2016-06-24,222.92,52511,9300,10
13,2016-06-16,146.73,26435,5315,11
14,2016-05-14,90.47,44246,3622,4
15,2016-06-20,41.239999999999995,11550,1482,3
16,2016-06-19,174.02,108356,6741,8
17,2016-06-22,201.36,52675,7977,11
18,2016-06-26,192.06,55284,7474,11
19,2016-05-30,18.3,5225,722,1
20,2016-05-08,100.62,60453,3840,5
21,2016-06-25,336.26,130886,14067,13
22,2016-06-15,79.21,15916,3041,5
23,2016-05-03,46.6,13522,1552,4
24,2016-06-09,164.41000000000003,96511,6715,6
25,2016-05-11,38.5,17552,1492,2
26,2016-05-05,123.33,61203,4824,6
27,2016-05-06,135.23,55242,5683,5
28,2016-05-17,51.02,41684,2169,1
29,2016-05-23,28.93,12816,1027,2
30,2016-05-31,42.519999999999996,18228,1697,2
31,2016-05-07,91.53,46686,3660,4
32,2016-05-10,11.73,2547,398,1
33,2016-06-05,43.349999999999994,8470,1810,2
34,2016-05-04,53.16,12114,2100,3
35,2016-05-22,43.84,11218,1621,3
36,2016-06-06,12.75,6917,420,1
37,2016-05-15,38.33,34224,1560,1
38,2016-06-11,45.01,30013,1743,2
39,2016-05-02,24.44,19713,939,1
