,date,fare,distance,duration,number of ride
0,2016-04-27,114.58999999999999,32945,4374,7
1,2016-06-24,153.41000000000003,42294,5941,9
2,2016-05-05,363.96000000000004,144841,15608,12
3,2016-06-03,344.61,121010,13594,18
4,2016-06-13,117.38000000000001,24963,4577,7
5,2016-06-02,167.81000000000003,46045,6862,8
6,2016-04-30,21.59,3613,905,1
7,2016-05-15,263.48,75767,11641,8
8,2016-06-14,156.09,60260,6344,7
9,2016-05-25,117.37,27383,4755,6
10,2016-05-06,219.34999999999997,50574,9127,10
11,2016-04-29,86.08000000000001,18534,2989,7
12,2016-05-24,115.44,29793,5028,4
13,2016-05-17,265.88,65131,11060,12
14,2016-06-11,45.38,8214,1722,3
15,2016-04-07,48.78,6947,1909,3
16,2016-06-09,133.29,28013,5385,7
17,2016-04-14,102.33000000000001,26744,4170,5
18,2016-06-17,208.49,81734,8534,9
19,2016-04-22,267.03,132906,11419,8
20,2016-04-21,98.92999999999999,19802,4238,4
21,2016-06-10,21.91,9041,883,1
22,2016-06-04,239.42000000000002,46332,10596,8
23,2016-06-06,207.45999999999998,89235,8622,8
24,2016-04-08,180.19,94835,7551,6
25,2016-05-16,144.20999999999998,40224,5868,7
26,2016-04-23,213.73,54689,8804,10
27,2016-05-31,172.62000000000003,43291,6937,9
28,2016-04-13,169.88000000000002,39768,7210,7
29,2016-05-19,267.94,89977,11381,10
30,2016-06-16,148.84000000000003,66125,6120,6
31,2016-05-11,150.41000000000003,56251,6663,4
32,2016-06-01,114.99,31370,4601,6
33,2016-04-20,39.56,8453,1417,3
34,2016-05-03,34.75,6048,1183,3
35,2016-05-07,89.16999999999999,17054,3552,5
36,2016-04-12,198.19,86654,8353,7
37,2016-05-26,174.16,44735,7202,8
38,2016-06-26,23.94,4715,824,2
39,2016-06-05,96.87,19507,4328,3
40,2016-06-07,96.59,24144,3889,5
41,2016-05-20,68.31,15691,2865,3
42,2016-04-26,33.67,5301,1328,2
43,2016-05-12,204.56,63881,9043,6
44,2016-04-10,37.19,6554,1307,3
45,2016-04-28,119.73999999999998,68194,4978,4
46,2016-05-23,77.80000000000001,18406,3341,3
47,2016-04-24,49.81,13581,1915,3
48,2016-05-09,31.369999999999997,7351,1193,2
49,2016-05-18,33.64,6149,1320,2
50,2016-04-15,11.4,2102,384,1
51,2016-06-12,26.82,10646,932,2
