,date,fare,distance,duration,number of ride
0,2016-05-17,182.83,47567,7830,7
1,2016-05-04,190.0,55606,7755,9
2,2016-05-18,125.55999999999999,39085,4903,7
3,2016-04-22,171.41,27146,6989,9
4,2016-05-20,219.76999999999998,38374,8650,13
5,2016-04-15,195.84999999999997,35259,8205,9
6,2016-04-09,175.23,45344,7449,7
7,2016-04-20,140.77,25530,6185,5
8,2016-06-10,203.86,50202,8475,9
9,2016-06-16,120.87,23843,4963,6
10,2016-05-21,324.77,103197,13665,13
11,2016-06-09,153.04000000000002,36457,5963,9
12,2016-06-11,369.29999999999995,127991,15224,16
13,2016-04-12,237.83000000000004,67177,10169,9
14,2016-05-06,322.82,67472,13427,15
15,2016-06-22,264.0,53474,10209,16
16,2016-06-18,238.93,85507,10291,8
17,2016-04-11,239.64000000000001,58583,10129,10
18,2016-04-21,72.27,49816,3024,2
19,2016-05-23,107.31,23862,4646,4
20,2016-06-12,216.85,53892,8386,13
21,2016-06-07,325.19999999999993,78729,13863,13
22,2016-06-01,153.54000000000002,56105,6241,7
23,2016-05-05,13.72,2424,503,1
24,2016-04-05,69.98,12182,2977,3
25,2016-04-10,144.98,59111,6164,5
26,2016-04-06,187.41000000000003,39463,8323,6
27,2016-06-03,46.620000000000005,6885,1992,2
28,2016-05-09,150.53,50727,6514,5
29,2016-04-28,52.04,12191,2237,2
