,date,fare,distance,duration,number of ride
0,2016-06-11,293.8,82948,11410,17
1,2016-05-21,401.1799999999999,102145,15898,22
2,2016-05-07,49.459999999999994,13095,1705,4
3,2016-05-06,173.09999999999997,80811,6498,10
4,2016-04-15,230.03,100311,8741,13
5,2016-06-23,183.43,56443,7602,8
6,2016-04-11,97.93,31761,3709,6
7,2016-05-20,67.5,11496,2462,5
8,2016-06-25,353.27000000000004,78643,14153,19
9,2016-05-22,122.76,53157,4656,7
10,2016-05-24,222.02,82483,9039,10
11,2016-06-08,60.27,11684,2083,5
12,2016-06-01,82.36,24135,3147,5
13,2016-06-22,150.34,26602,6088,8
14,2016-05-25,181.20999999999998,69771,7196,9
15,2016-04-10,205.09,72699,7834,12
16,2016-04-08,187.67000000000002,72256,7711,8
17,2016-06-12,66.94,45070,2584,3
18,2016-05-11,28.520000000000003,6383,856,3
19,2016-04-07,85.65,16107,3767,3
20,2016-04-16,286.36999999999995,122553,11328,14
21,2016-05-28,238.98999999999995,70056,9427,13
22,2016-04-13,107.42,34053,3797,8
23,2016-06-21,214.12,44873,7917,15
24,2016-04-14,136.27,46504,5213,8
25,2016-06-24,271.90999999999997,68923,11543,11
26,2016-06-03,116.3,31060,4868,5
27,2016-04-09,82.78999999999999,20825,2801,7
28,2016-05-09,10.95,1896,362,1
29,2016-06-10,216.51,70057,8840,10
30,2016-06-13,78.16,29069,2892,5
31,2016-04-12,76.06,47393,3043,3
32,2016-05-05,126.51,48816,5274,5
33,2016-06-09,34.92,5527,1391,2
34,2016-04-17,91.97999999999999,33487,3973,3
35,2016-06-15,21.03,7080,851,1
36,2016-06-26,33.93,9384,1312,2
37,2016-06-14,29.94,5673,1130,2
38,2016-05-29,29.66,13563,1059,2
