,date,fare,distance,duration,number of ride
0,2016-04-24,134.12,37091,4972,9
1,2016-05-15,104.26,30988,4240,5
2,2016-04-30,106.38,56049,4172,5
3,2016-04-25,54.17,16539,2317,2
4,2016-04-28,89.07999999999998,29731,3457,5
5,2016-05-14,33.43,6808,1304,2
6,2016-04-26,57.31999999999999,17070,2282,3
7,2016-04-29,100.44999999999999,31744,4232,4
8,2016-05-16,38.49,22554,1456,2
9,2016-05-13,39.58,8381,1614,2
10,2016-06-17,112.22999999999999,29032,4670,5
11,2016-05-03,54.279999999999994,16498,1932,4
12,2016-04-27,26.56,4099,965,2
13,2016-06-09,58.76,17831,2352,3
