,date,fare,distance,duration,number of ride
0,2016-05-09,234.38000000000002,67638,9008,14
1,2016-04-30,226.31,87188,9033,11
2,2016-05-06,200.82000000000002,81237,7746,11
3,2016-06-16,423.3999999999999,128564,17456,19
4,2016-04-28,241.62,57603,9456,14
5,2016-04-26,289.87,84852,10801,19
6,2016-04-09,117.44999999999999,35686,4504,7
7,2016-06-15,64.97,20746,2655,3
8,2016-05-12,265.41999999999996,94092,10242,15
9,2016-05-11,230.46,54083,9094,13
10,2016-06-17,326.00999999999993,103167,13339,15
11,2016-06-23,281.79999999999995,113971,11737,11
12,2016-06-03,385.59999999999997,125148,14922,22
13,2016-04-06,66.95,22999,2742,3
14,2016-06-20,386.26000000000005,120871,16357,15
15,2016-06-11,143.60999999999999,38277,5263,10
16,2016-06-02,108.77,29452,4096,7
17,2016-06-08,86.34,28637,3126,6
18,2016-05-31,117.86000000000001,30821,4560,7
19,2016-06-09,275.08000000000004,91268,11157,13
20,2016-06-18,349.09000000000003,103487,14541,15
21,2016-05-05,209.86,62436,8156,12
22,2016-05-26,166.92000000000002,58703,6921,7
23,2016-04-22,199.05,63479,7585,12
24,2016-06-10,102.41999999999999,23149,4005,6
25,2016-05-02,224.91,99386,8874,11
26,2016-04-02,5.0,4,62,1
27,2016-06-25,298.09,63548,12361,14
28,2016-05-28,236.67999999999998,74127,9863,10
29,2016-04-21,183.99,55712,6854,12
30,2016-04-18,119.11,42292,4739,6
31,2016-05-14,232.76,113169,9772,8
32,2016-05-07,246.01,86475,9675,13
33,2016-04-17,144.05,36122,5498,9
34,2016-06-04,186.60000000000002,69778,7086,11
35,2016-04-14,75.08,20173,2795,5
36,2016-04-19,116.64999999999999,36356,4652,6
37,2016-06-22,315.50000000000006,74531,13190,14
38,2016-05-04,164.58,60755,6784,7
39,2016-04-24,69.15,16413,2512,5
40,2016-06-14,354.30000000000007,119394,13917,19
41,2016-04-08,12.07,2537,416,1
42,2016-04-12,246.27,89029,9865,12
43,2016-04-15,184.48,73145,7146,10
44,2016-04-10,29.66,5812,919,3
45,2016-04-23,93.38,33759,3653,5
46,2016-05-17,250.36,93946,10239,11
47,2016-04-01,46.18,12514,1717,3
48,2016-06-21,45.83,10649,1728,3
49,2016-04-13,83.41,19588,3185,5
50,2016-04-07,93.35,35266,4032,3
51,2016-04-11,74.47,30439,2886,4
52,2016-04-25,17.61,4478,691,1
53,2016-03-31,18.17,2449,735,1
