,date,fare,distance,duration,number of ride
0,2016-06-03,160.54,32667,6578,8
1,2016-05-31,135.89000000000001,34606,5082,9
2,2016-05-24,93.16,20445,3345,7
3,2016-05-11,332.59000000000003,81803,13248,18
4,2016-06-02,137.44,28281,5404,8
5,2016-04-15,179.25,62618,7145,9
6,2016-05-21,324.21000000000004,109369,13005,16
7,2016-05-10,35.22,6835,1202,3
8,2016-04-18,52.68,12501,1877,4
9,2016-05-17,170.83000000000004,46060,7019,8
10,2016-04-04,192.64999999999998,43951,8564,6
11,2016-05-20,234.52,94415,9410,11
12,2016-05-27,145.43,34141,5975,7
13,2016-06-11,78.3,26459,3114,4
14,2016-06-01,92.18,18187,3310,7
15,2016-06-24,26.39,10158,913,2
16,2016-05-18,143.28,45903,6170,5
17,2016-05-23,123.78,30694,5065,6
18,2016-06-21,135.10000000000002,47557,5731,5
19,2016-04-06,159.76,38201,6301,9
20,2016-05-28,50.53,17787,1923,3
21,2016-04-12,127.18999999999998,39331,5178,6
22,2016-06-07,189.99,45171,7829,9
23,2016-04-20,136.1,63018,5478,6
24,2016-06-23,77.38,24499,2884,5
25,2016-05-25,267.71000000000004,130806,11665,7
26,2016-04-19,62.85,18046,2368,4
27,2016-06-25,167.79000000000002,32884,6954,8
28,2016-06-09,95.68,14532,3910,5
29,2016-05-09,71.92999999999999,19047,3030,3
30,2016-04-11,33.61,24102,1386,1
31,2016-05-04,128.12,47386,5172,6
32,2016-06-06,44.42,7976,1674,3
33,2016-06-08,44.24,9294,2046,1
34,2016-04-02,49.94,30058,2000,2
35,2016-04-16,13.09,2674,468,1
36,2016-04-05,58.5,12099,2183,4
37,2016-04-08,141.39000000000001,26119,6016,6
