,date,fare,distance,duration,number of ride
0,2016-04-23,70.05000000000001,14845,2766,4
1,2016-06-10,106.74,70088,4482,3
2,2016-05-22,127.56,29837,5072,7
3,2016-05-20,177.2,52325,7111,9
4,2016-05-08,106.07000000000001,29333,3955,7
5,2016-06-26,184.6,106588,7893,5
6,2016-05-27,288.38,143747,11868,11
7,2016-05-29,176.95999999999998,72594,7149,8
8,2016-06-12,99.33,33668,3768,6
9,2016-05-19,114.47999999999999,28586,4595,6
10,2016-05-15,124.08000000000001,52630,4924,6
11,2016-06-18,123.27,41683,4960,6
12,2016-06-25,175.72,40025,6731,11
13,2016-05-28,185.2,66906,7620,8
14,2016-06-11,226.52,111835,9455,8
15,2016-06-17,85.27,38573,3391,4
16,2016-05-07,197.53,66169,7681,11
17,2016-04-30,67.77,12205,2862,3
18,2016-06-20,62.919999999999995,19746,2555,3
19,2016-05-01,27.53,5225,1008,2
20,2016-05-13,51.269999999999996,8102,2030,3
21,2016-06-22,54.410000000000004,9323,1990,4
22,2016-06-04,109.58,29700,4120,7
23,2016-06-23,54.040000000000006,26898,2040,3
24,2016-06-16,49.04,10504,1897,3
25,2016-05-14,148.73999999999998,66622,5915,7
26,2016-06-19,131.67,43259,5192,7
27,2016-06-05,134.03,72609,5692,4
28,2016-06-24,30.93,17432,1294,1
29,2016-05-30,77.25,19851,2910,5
30,2016-05-21,152.39,68509,5883,8
31,2016-05-26,16.07,2800,623,1
32,2016-05-06,20.69,4497,852,1
33,2016-05-23,58.42,36389,2397,2
34,2016-06-03,34.870000000000005,5777,1387,2
35,2016-05-12,9.39,1266,285,1
36,2016-06-21,57.22,24144,2422,2
