,date,fare,distance,duration,number of ride
0,2016-05-14,323.7,79762,13580,14
1,2016-05-03,317.44999999999993,64352,13365,14
2,2016-05-16,243.55,89930,9913,11
3,2016-05-26,203.39000000000001,58626,8433,9
4,2016-05-21,152.64999999999998,46993,6455,6
5,2016-06-01,60.49000000000001,14640,2269,4
6,2016-05-24,122.0,32177,4962,6
7,2016-05-31,47.03,28055,1862,2
8,2016-05-06,212.74,39661,8469,12
9,2016-05-01,340.35999999999996,82940,13254,20
10,2016-06-06,114.14000000000001,43212,4669,5
11,2016-05-07,142.5,30303,5458,9
12,2016-05-17,271.84000000000003,51711,10879,15
13,2016-05-15,290.27,91996,12140,12
14,2016-05-19,199.3,38670,7971,11
15,2016-05-13,103.60000000000001,18117,4102,6
16,2016-05-05,195.1,83521,8213,7
17,2016-05-11,294.11,53419,11834,16
18,2016-05-08,219.66,41904,8618,13
19,2016-05-02,28.88,6143,1072,2
20,2016-04-30,137.64999999999998,31492,5588,7
21,2016-05-12,206.82,72942,8509,9
22,2016-05-20,155.56,50624,6385,7
23,2016-05-30,189.75000000000003,101693,7414,9
24,2016-05-04,132.86,30410,5542,6
25,2016-05-28,68.86999999999999,13515,2519,5
26,2016-06-07,42.43,5257,1785,2
27,2016-05-29,296.91999999999996,108570,12173,13
28,2016-05-25,172.03,26942,6827,10
29,2016-06-09,62.42,7786,2614,3
30,2016-06-04,77.77,26675,3280,3
31,2016-05-09,212.96000000000004,30917,8739,11
32,2016-06-02,21.05,4458,871,1
