,date,fare,distance,duration,number of ride
0,2016-06-02,340.70000000000005,124959,14335,13
1,2016-06-13,177.78,89528,7267,7
2,2016-05-31,151.47,34363,6288,7
3,2016-05-24,207.06000000000003,68934,8159,11
4,2016-05-20,251.73999999999998,84324,10184,12
5,2016-06-01,389.89000000000004,114572,15974,18
6,2016-05-15,203.53,60575,8230,10
7,2016-05-03,458.80000000000007,164247,18852,20
8,2016-05-13,384.88000000000005,97836,16253,16
9,2016-06-11,170.83999999999997,41815,6854,9
10,2016-05-04,263.67,76571,11059,11
11,2016-06-10,280.62,72109,11583,13
12,2016-05-22,288.3,81808,11524,15
13,2016-05-09,189.57999999999998,42840,8021,8
14,2016-06-08,245.43000000000004,57205,9658,14
15,2016-05-17,93.52,41826,3799,4
16,2016-05-10,243.86999999999998,70636,9873,12
17,2016-05-06,153.07999999999998,27714,6224,8
18,2016-05-19,243.87,65609,10104,11
19,2016-05-14,227.97000000000003,87844,9116,11
20,2016-06-09,332.33000000000004,158395,13862,12
21,2016-05-05,267.84000000000003,99876,10914,12
22,2016-06-07,233.39,61693,9976,9
23,2016-05-02,140.67999999999998,43650,5267,9
24,2016-05-12,289.26,103817,12200,11
25,2016-05-26,206.02000000000004,47822,8647,9
26,2016-05-07,124.76000000000002,43122,4637,8
27,2016-06-05,226.21999999999997,72274,9330,10
28,2016-05-25,50.150000000000006,14920,1923,3
29,2016-05-23,176.02999999999997,54973,7031,9
30,2016-06-03,204.61,54326,8136,11
