,date,fare,distance,duration,number of ride
0,2016-05-15,110.27000000000001,32021,3960,8
1,2016-05-17,216.89000000000001,70866,8463,12
2,2016-04-21,270.49999999999994,71801,10665,15
3,2016-05-27,301.25,109226,11416,18
4,2016-06-11,285.5,100491,11831,12
5,2016-06-26,153.99,32389,6434,7
6,2016-06-25,244.47999999999996,59802,9786,13
7,2016-05-14,248.09,114217,9733,12
8,2016-05-21,366.01,173481,15315,13
9,2016-06-22,320.01,88742,12933,16
10,2016-05-16,109.52,25189,4165,7
11,2016-05-25,226.16,77162,9097,11
12,2016-04-05,210.68,68100,8158,12
13,2016-05-22,274.67999999999995,99371,10438,16
14,2016-06-04,298.56,110163,12248,13
15,2016-05-19,214.88000000000002,42171,8366,13
16,2016-06-23,158.49,35009,6259,9
17,2016-04-06,200.14000000000001,59570,7670,12
18,2016-04-02,300.40999999999997,102429,11811,16
19,2016-04-19,190.76,61771,7555,10
20,2016-06-18,234.53000000000003,65115,9620,11
21,2016-05-28,264.88,97349,10191,15
22,2016-04-22,410.88999999999993,161137,16572,19
23,2016-04-17,245.81999999999996,67048,9022,17
24,2016-06-07,149.34,37963,6543,5
25,2016-05-24,236.51,73538,10054,9
26,2016-06-10,248.32000000000002,70528,10104,12
27,2016-05-29,284.34,104730,10762,17
28,2016-06-01,296.2699999999999,93197,12641,11
29,2016-05-20,347.31,131250,14641,13
30,2016-04-20,222.23000000000002,84912,9033,10
31,2016-04-08,277.08000000000004,101008,10801,15
32,2016-06-17,245.22,85118,10231,10
33,2016-04-23,249.36,87094,9258,16
34,2016-05-26,189.13,46316,6799,14
35,2016-05-18,296.03999999999996,104373,12158,13
36,2016-06-02,342.09000000000003,138870,14120,14
37,2016-06-03,489.02000000000004,194814,20017,21
38,2016-04-10,200.42,73706,7779,11
39,2016-06-08,393.72999999999996,195648,16994,11
40,2016-04-01,196.53,51574,7342,13
41,2016-06-13,174.16,35023,6880,10
42,2016-04-09,179.14000000000001,38400,6138,15
43,2016-06-21,79.89999999999999,14098,3286,4
44,2016-06-05,219.55,77399,9729,6
45,2016-04-03,221.06000000000003,75686,8842,11
46,2016-06-12,111.88000000000001,66591,4072,6
47,2016-06-24,299.28,96664,12187,14
48,2016-05-13,193.48999999999995,66277,8058,8
49,2016-04-16,310.96999999999997,113670,11696,19
50,2016-04-15,272.59999999999997,98112,10784,14
51,2016-03-31,196.10999999999999,91637,7817,9
52,2016-06-16,194.89000000000001,34055,7187,14
53,2016-06-15,53.53,9321,2139,3
54,2016-04-07,201.93999999999997,55050,7600,13
55,2016-06-09,190.37,49993,7815,9
56,2016-04-12,28.919999999999998,3948,894,3
57,2016-03-30,61.349999999999994,21590,2460,3
58,2016-06-19,71.35999999999999,15062,2833,4
