,date,fare,distance,duration,number of ride
0,2016-04-24,559.4,210275,22600,26
1,2016-06-17,215.48,66019,8619,11
2,2016-05-29,285.66999999999996,63638,11320,16
3,2016-05-08,201.60999999999999,48614,8411,9
4,2016-04-14,243.68,67613,9688,13
5,2016-06-26,174.64,78894,7179,7
6,2016-06-10,107.62,17787,4510,5
7,2016-06-14,79.30000000000001,27107,3357,3
8,2016-04-23,340.8200000000001,86302,13645,18
9,2016-06-24,409.75,84910,16664,21
10,2016-04-22,394.96000000000004,133016,16332,17
11,2016-06-25,296.37999999999994,61398,11895,16
12,2016-04-21,39.1,3531,1819,1
13,2016-04-11,97.57000000000001,35018,4058,4
14,2016-06-18,359.2,78851,14069,21
15,2016-04-16,138.6,53319,5677,6
16,2016-06-13,80.7,16914,3112,5
17,2016-06-19,349.34,106763,13748,19
18,2016-05-30,43.29,10385,1598,3
19,2016-04-17,310.07,62114,12996,14
20,2016-05-01,361.2199999999999,71342,14033,22
21,2016-04-07,85.12,20107,3294,5
22,2016-05-27,64.83000000000001,10079,2528,4
23,2016-06-06,64.07,21552,2407,4
24,2016-05-16,47.62,25219,2109,1
25,2016-04-13,115.06,20220,4881,5
26,2016-06-11,87.5,63344,3722,2
27,2016-04-08,144.39000000000001,79092,6187,4
28,2016-06-23,496.46000000000004,151689,19928,25
29,2016-04-20,125.64999999999999,31977,4958,7
30,2016-04-18,33.22,6577,1295,2
31,2016-04-29,66.15,37865,2790,2
32,2016-04-12,297.87,109285,12413,12
33,2016-05-22,228.19,78087,9391,10
34,2016-04-25,136.10999999999999,43558,5421,7
35,2016-06-15,121.21,95257,5057,3
36,2016-04-15,98.53,25284,3982,5
37,2016-04-19,38.21,7123,1551,2
38,2016-06-12,51.54,11475,2020,3
39,2016-04-27,73.3,23579,3069,3
40,2016-05-31,20.71,6162,841,1
41,2016-04-09,125.71000000000001,28457,5378,5
42,2016-06-09,29.700000000000003,5621,1118,2
43,2016-05-24,15.92,4920,600,1
44,2016-05-13,51.81,20142,2168,2
45,2016-06-05,62.260000000000005,24085,2490,3
46,2016-05-28,32.13,16634,1362,1
47,2016-05-21,103.86000000000001,17021,4515,4
48,2016-04-28,47.0,10726,1984,2
49,2016-06-04,53.6,10414,2135,3
50,2016-04-30,23.09,4665,780,2
51,2016-04-26,37.379999999999995,18333,1428,2
52,2016-06-01,13.16,2108,476,1
