,date,fare,distance,duration,number of ride
0,2016-04-16,71.98,30141,3149,2
1,2016-06-06,29.46,22317,1182,1
2,2016-06-01,80.61,25370,3242,4
3,2016-06-26,105.39999999999999,21657,4171,6
4,2016-04-15,83.55,45921,3249,4
5,2016-04-14,144.16,49991,6186,5
6,2016-05-31,81.07,36846,3576,2
7,2016-04-22,36.15,12972,1598,1
8,2016-04-24,120.11000000000001,43065,4981,5
9,2016-04-18,33.28,18738,1407,1
10,2016-06-03,68.57,27933,2987,2
11,2016-06-10,22.27,13380,871,1
12,2016-04-23,84.42,33422,3384,4
13,2016-04-20,88.27,25473,3837,3
14,2016-04-17,32.16,4622,1254,2
15,2016-06-07,14.07,3404,514,1
16,2016-05-30,13.0,5150,446,1
