,date,fare,distance,duration,number of ride
0,2016-06-17,267.51,60808,11371,11
1,2016-04-08,100.77000000000001,24871,4102,5
2,2016-06-23,105.61,22093,4570,4
3,2016-04-20,142.37,33486,5820,7
4,2016-06-14,151.84,26042,6172,8
5,2016-04-25,90.95,23743,3793,4
6,2016-04-29,164.77,47638,6888,7
7,2016-06-03,185.68999999999997,31313,7704,9
8,2016-04-18,87.74000000000001,27310,3600,4
9,2016-06-02,122.99000000000001,38429,5164,5
10,2016-05-17,140.36,32206,5920,6
11,2016-04-15,74.94,24351,3149,3
12,2016-04-07,41.06,8975,1687,2
13,2016-06-08,112.41,45090,4761,4
14,2016-06-16,99.1,19317,4250,4
15,2016-04-21,41.17,7978,1700,2
16,2016-04-27,78.0,12222,3396,3
17,2016-06-13,142.23000000000002,27984,5656,8
18,2016-06-06,131.63,34865,5249,7
19,2016-05-19,105.39,44047,4402,4
20,2016-05-11,110.43,86445,4558,3
21,2016-05-26,119.72,41875,5165,4
22,2016-05-24,104.95,27398,4302,5
23,2016-06-24,303.03999999999996,76287,13114,11
24,2016-05-13,12.86,3427,451,1
25,2016-06-09,118.44,36798,5135,4
26,2016-05-18,43.05,5475,1816,2
27,2016-06-01,28.82,9276,1242,1
28,2016-05-20,110.57,53110,4803,3
29,2016-06-10,104.08,23899,4477,4
30,2016-06-15,120.81,28098,5125,5
31,2016-05-02,89.16,32039,3641,4
32,2016-04-06,96.60000000000001,18062,3737,6
33,2016-04-12,39.010000000000005,7814,1393,3
34,2016-05-31,107.08999999999999,20558,4267,6
35,2016-05-16,113.11999999999999,22486,4372,7
36,2016-05-12,114.14999999999999,24715,4801,5
37,2016-06-07,176.09,64012,7361,7
38,2016-06-22,148.01,28607,5953,8
39,2016-04-13,18.78,3802,757,1
40,2016-06-20,65.21000000000001,18490,2684,3
41,2016-04-14,72.05000000000001,23269,3006,3
42,2016-05-23,99.97999999999999,63799,4174,3
43,2016-04-26,39.27,7544,1408,3
44,2016-04-19,45.93,10367,1931,2
45,2016-05-25,32.34,10671,1220,2
46,2016-06-21,50.89,8768,2201,2
