,date,fare,distance,duration,number of ride
0,2016-06-04,571.8500000000001,180815,23263,27
1,2016-05-22,225.26,44813,9476,10
2,2016-05-15,242.40000000000003,56950,9689,13
3,2016-05-07,474.63,119445,19607,22
4,2016-06-03,309.03,74337,12854,14
5,2016-05-13,361.97999999999996,89314,14531,19
6,2016-05-27,275.69999999999993,73850,11120,14
7,2016-05-21,620.5600000000001,137002,25139,32
8,2016-06-05,255.78,104029,10255,12
9,2016-05-28,166.71999999999997,61539,6695,8
10,2016-05-14,432.31,83272,18047,20
11,2016-05-06,308.85999999999996,103919,12439,15
12,2016-05-20,422.68999999999994,101602,17220,21
13,2016-05-08,238.99000000000004,71883,9609,12
