,date,fare,distance,duration,number of ride
0,2016-05-07,137.64,43012,5114,9
1,2016-05-22,165.32,65953,6590,8
2,2016-05-08,140.65,63556,5515,7
3,2016-05-09,136.85999999999999,66558,5101,8
4,2016-05-24,106.19,59337,3943,6
5,2016-05-10,168.72,78504,6287,10
6,2016-05-03,128.53,33434,4511,10
7,2016-05-13,269.42,126408,10807,12
8,2016-06-26,175.04000000000002,57191,7160,8
9,2016-06-10,67.35000000000001,27114,2538,4
10,2016-06-06,56.03,21226,2185,3
11,2016-05-11,112.57000000000002,42109,4203,7
12,2016-05-21,136.04000000000002,60633,5492,6
13,2016-05-29,37.39,12850,1468,2
14,2016-05-15,133.32999999999998,75291,5050,7
15,2016-06-15,245.2,71924,10128,11
16,2016-05-14,17.09,6301,651,1
17,2016-05-28,193.88,112349,7750,8
18,2016-05-01,224.87999999999997,91292,8734,12
19,2016-06-18,123.47,36288,4618,8
20,2016-06-14,80.14999999999999,17508,3079,5
21,2016-05-05,104.9,35171,4049,6
22,2016-05-02,156.82999999999998,63380,6361,7
23,2016-05-06,234.07999999999998,144431,9422,9
24,2016-06-09,64.32000000000001,20673,2171,5
25,2016-05-19,27.910000000000004,8110,1007,2
26,2016-05-20,71.29,21657,2782,4
27,2016-06-19,102.9,30951,3778,7
28,2016-05-26,124.64999999999999,59833,4512,8
29,2016-05-04,80.74,23816,3064,5
30,2016-05-25,47.72,22534,1742,3
31,2016-06-13,158.47,81452,6317,7
32,2016-06-24,41.9,32796,1561,2
33,2016-06-08,151.05,42884,5814,9
34,2016-05-12,53.220000000000006,15678,2078,3
35,2016-06-02,52.31,25862,1762,4
36,2016-05-17,57.2,20354,2056,4
37,2016-05-27,128.07999999999998,56728,4909,7
38,2016-06-05,70.91,45699,2787,3
39,2016-06-17,106.82,41723,4102,6
40,2016-06-21,72.2,39472,3094,2
41,2016-06-25,125.34,48280,5412,4
42,2016-04-30,109.61000000000001,36210,3895,8
43,2016-05-30,73.31,25469,2860,4
44,2016-06-16,99.54,32367,4180,4
45,2016-05-18,23.55,6331,792,2
46,2016-06-22,7.47,1282,185,1
47,2016-06-20,13.34,2888,480,1
48,2016-06-12,24.46,5758,844,2
49,2016-06-03,56.81,29755,1969,4
50,2016-06-07,16.85,2026,669,1
51,2016-06-01,9.48,2087,284,1
52,2016-06-04,18.0,2984,722,1
