,date,fare,distance,duration,number of ride
0,2016-05-20,42.61,8031,1579,3
1,2016-05-27,94.0,21275,3970,4
2,2016-05-10,60.81,18749,2452,3
3,2016-05-03,29.61,6531,863,3
4,2016-06-05,78.63,14787,3019,5
5,2016-04-28,26.14,8063,915,2
6,2016-05-17,55.349999999999994,37917,2226,2
7,2016-04-26,64.39999999999999,18239,2447,4
8,2016-05-24,19.38,3731,789,1
9,2016-05-07,9.57,1502,293,1
10,2016-05-11,11.34,1934,382,1
11,2016-05-15,31.86,9310,1400,1
12,2016-05-04,34.17,15458,1477,1
13,2016-05-18,94.83,43051,3858,4
14,2016-05-26,27.79,4029,1030,2
15,2016-06-12,20.37,8293,808,1
