,date,fare,distance,duration,number of ride
0,2016-06-20,128.54,58117,5118,6
1,2016-05-17,242.89999999999998,136323,10136,8
2,2016-05-18,110.39000000000001,25618,4403,6
3,2016-05-19,101.1,22401,3941,6
4,2016-06-15,113.79,23627,4399,7
5,2016-05-03,163.48,51930,6594,8
6,2016-04-28,192.77999999999997,55863,7899,9
7,2016-06-07,271.28,67425,10933,14
8,2016-06-17,18.53,2954,750,1
9,2016-06-23,157.98999999999998,33808,6241,9
10,2016-06-03,124.83999999999999,27149,4950,7
11,2016-06-18,48.16,19628,1981,2
12,2016-06-09,102.42999999999998,33242,4129,5
13,2016-04-26,58.2,22300,2486,2
14,2016-06-22,203.65,54059,7892,12
15,2016-05-27,142.06,33327,5609,8
16,2016-06-24,286.68,87132,11205,16
17,2016-06-01,105.1,24578,4134,6
18,2016-05-21,109.15,25117,4537,5
19,2016-05-20,203.35000000000002,83516,8449,8
20,2016-05-05,126.82000000000001,37424,5372,5
21,2016-06-25,147.85,77846,5984,6
22,2016-05-10,221.12,61123,8948,11
23,2016-06-02,119.65,25627,4690,7
24,2016-05-23,186.3,56540,8534,4
25,2016-06-06,233.89,64703,9394,12
26,2016-06-08,79.31,26001,3170,4
27,2016-05-25,196.34,114970,8054,7
28,2016-05-09,142.63,72937,5748,6
29,2016-06-04,173.51,43317,6983,9
30,2016-05-12,59.769999999999996,10288,2458,3
31,2016-05-30,81.16,56312,3050,4
32,2016-06-13,46.22,12526,1735,3
33,2016-06-16,109.57999999999998,102896,4397,3
34,2016-05-28,85.83000000000001,53392,3315,4
35,2016-04-27,49.349999999999994,12932,1896,3
36,2016-05-31,31.15,8472,1369,1
37,2016-05-11,77.3,35076,3587,1
38,2016-04-17,25.64,11945,1057,1
39,2016-06-21,94.37,69512,3841,3
