,date,fare,distance,duration,number of ride
0,2016-05-29,125.75,35827,5327,5
1,2016-05-13,259.90999999999997,69017,10525,13
2,2016-05-17,232.8,68700,9309,12
3,2016-05-20,158.63,36793,6449,8
4,2016-05-30,147.54000000000002,40522,5453,10
5,2016-05-28,272.02,72581,10544,16
6,2016-05-11,257.53999999999996,65356,10232,14
7,2016-06-02,34.29,14361,1295,2
8,2016-05-12,278.72999999999996,62863,11746,12
9,2016-05-24,156.68,46024,6086,9
10,2016-05-27,148.56,47490,6238,6
11,2016-05-26,107.92999999999999,29737,4245,6
12,2016-05-10,141.25,64623,5735,6
13,2016-05-14,160.47,60396,5985,10
14,2016-05-07,35.79,5738,1239,3
15,2016-05-25,143.83,59390,5906,6
16,2016-05-21,312.94000000000005,72066,12682,16
17,2016-05-15,285.88,129864,12228,9
18,2016-05-08,101.96,32203,4112,5
19,2016-06-01,188.09,51719,7488,10
20,2016-05-19,214.53,60290,8414,12
21,2016-05-31,49.6,22891,2033,2
22,2016-05-16,104.41,23113,3913,7
23,2016-05-06,116.75,21839,4957,5
24,2016-05-09,203.89000000000001,80357,8303,9
25,2016-05-22,135.47000000000003,30987,5673,6
26,2016-05-23,137.26999999999998,28288,5591,7
27,2016-05-18,45.17,9028,1510,4
