,date,fare,distance,duration,number of ride
0,2016-06-18,229.93,70141,8366,16
1,2016-05-30,296.64,120099,11098,18
2,2016-05-13,128.98,44095,5632,4
3,2016-05-18,86.03,41355,3607,3
4,2016-06-14,65.48,63020,2771,1
5,2016-06-10,197.11,76082,8372,7
6,2016-05-28,153.42,67204,6156,7
7,2016-06-24,202.39000000000001,67829,8119,10
8,2016-05-17,215.85999999999999,65994,9030,9
9,2016-05-21,217.34999999999997,103118,9039,8
10,2016-06-19,91.13,21502,3036,8
11,2016-06-26,82.21000000000001,22056,3349,4
12,2016-05-19,299.87,108852,11739,16
13,2016-06-07,110.71000000000001,22671,4245,7
14,2016-06-09,215.84,59084,9079,9
15,2016-06-23,175.8,62642,6769,10
16,2016-05-23,153.07,58491,6200,7
17,2016-05-22,71.84,23069,2801,4
18,2016-05-16,179.39000000000001,54101,7018,10
19,2016-06-16,98.0,21388,3786,6
20,2016-06-08,21.64,4160,708,2
21,2016-06-17,247.83999999999997,59720,9374,16
22,2016-05-24,113.91000000000001,34694,4326,7
23,2016-05-27,125.75,58378,4775,7
24,2016-06-12,84.42,43076,3315,4
25,2016-05-25,81.25,24318,3087,5
26,2016-05-29,75.36,23465,2982,4
27,2016-06-05,152.14000000000001,44080,5667,10
28,2016-06-11,194.56,40590,7709,11
29,2016-05-26,234.43,95626,9789,9
30,2016-05-11,74.91,17301,2807,5
31,2016-05-14,179.92000000000002,62443,7572,7
32,2016-06-20,120.7,44463,4807,6
33,2016-06-02,245.75000000000003,96624,9785,12
34,2016-06-13,253.43,88963,9848,14
35,2016-05-12,122.02,43793,4684,7
36,2016-06-06,155.57999999999998,72528,5805,9
37,2016-05-10,75.87,23522,3204,3
