,date,fare,distance,duration,number of ride
0,2016-06-18,158.07,39863,6398,8
1,2016-04-29,170.82999999999998,39231,6872,9
2,2016-06-09,134.82,36358,5405,7
3,2016-05-04,209.82,70562,9270,6
4,2016-05-16,286.78000000000003,78627,11272,16
5,2016-06-17,321.85,84651,14037,11
6,2016-05-18,138.13,38252,5760,6
7,2016-04-28,80.11,20533,3055,5
8,2016-05-23,282.45,176149,11915,8
9,2016-05-19,321.34000000000003,113185,12632,17
10,2016-05-06,183.27,46337,7667,8
11,2016-06-06,190.17,70464,7658,9
12,2016-05-20,226.31,70913,8759,13
13,2016-06-04,217.22,60262,8947,10
14,2016-05-12,238.18,49375,8944,16
15,2016-05-13,101.69000000000001,34204,4083,5
16,2016-06-20,264.77000000000004,98228,10570,13
17,2016-05-26,377.38999999999993,107036,16186,14
18,2016-06-13,295.14,173711,12398,9
19,2016-05-05,285.8,79060,11609,14
20,2016-06-11,197.5,80969,7574,11
21,2016-05-09,226.07999999999998,85466,9035,11
22,2016-04-30,175.98,34026,6982,10
23,2016-05-11,101.29,28212,3910,6
24,2016-05-27,356.84999999999997,76224,15140,15
25,2016-05-24,564.8099999999998,185911,23251,25
26,2016-05-21,207.36,59182,8440,10
27,2016-05-22,206.92000000000002,79782,8466,9
28,2016-06-10,247.79,43744,11052,8
29,2016-06-16,241.09,113684,9420,12
30,2016-05-01,31.739999999999995,11677,986,3
31,2016-05-28,195.47000000000003,38294,7146,14
32,2016-05-10,190.19000000000003,60720,7729,9
33,2016-06-03,149.83999999999997,51466,6081,7
34,2016-05-02,311.89,175935,12866,11
