,date,fare,distance,duration,number of ride
0,2016-05-14,309.61,61573,12192,18
1,2016-06-01,128.26,24939,5145,7
2,2016-05-18,295.86000000000007,85127,11502,17
3,2016-05-22,278.12,72293,11061,15
4,2016-06-07,35.43,4724,1228,3
5,2016-05-12,259.69,83008,10022,15
6,2016-05-21,374.15999999999997,142477,14983,18
7,2016-05-30,221.88,112914,8814,10
8,2016-06-05,40.120000000000005,8948,1442,3
9,2016-05-07,193.75,56336,7946,9
10,2016-06-09,140.03,41934,5833,6
11,2016-05-19,179.83999999999997,59294,7786,6
12,2016-06-02,226.42,69480,8969,12
13,2016-06-06,25.41,7017,1080,1
14,2016-05-11,215.90999999999997,53750,8729,11
15,2016-05-15,107.12,50204,4448,4
16,2016-05-05,138.8,45170,5354,8
17,2016-05-10,87.31,34060,3334,5
18,2016-06-12,79.60000000000001,40401,3082,4
19,2016-06-10,240.11,75072,9840,11
20,2016-05-13,292.78,70388,11839,15
21,2016-06-25,44.71,9618,1873,2
22,2016-06-26,107.81,27352,4647,4
23,2016-05-20,399.90000000000003,94940,16079,21
24,2016-06-04,66.48,14060,2781,3
25,2016-06-23,46.99,18918,1925,2
26,2016-05-26,34.61,5908,1568,1
27,2016-06-18,27.08,13039,1124,1
28,2016-05-04,7.02,800,165,1
29,2016-05-06,13.28,4933,462,1
