,date,fare,distance,duration,number of ride
0,2016-05-28,370.98999999999995,112926,15029,18
1,2016-05-05,212.26999999999998,94715,8248,11
2,2016-05-21,595.3000000000001,144653,24158,30
3,2016-05-10,196.31,131290,7741,8
4,2016-05-08,139.41,41773,5214,9
5,2016-05-04,128.49,41412,4843,8
6,2016-06-04,441.34000000000003,136286,18532,18
7,2016-05-19,177.20000000000002,41562,6992,10
8,2016-05-07,149.2,56998,6008,7
9,2016-05-27,186.04,76306,7597,8
10,2016-05-13,113.56,25778,4567,6
11,2016-06-05,86.97,28953,3744,3
12,2016-05-09,307.03,155691,12169,14
13,2016-05-15,242.2,59307,9669,13
14,2016-06-03,137.21,35265,5342,8
15,2016-05-12,126.57,37462,4966,7
16,2016-05-24,94.34,21429,3791,5
17,2016-05-17,128.64,45389,5018,7
18,2016-05-14,174.29,62180,6693,10
19,2016-05-22,31.69,10619,1382,1
20,2016-05-06,159.01999999999998,60161,6303,8
21,2016-05-31,21.7,16615,818,1
22,2016-05-11,95.41,52754,3819,4
