,date,fare,distance,duration,number of ride
0,2016-06-21,62.89,25252,2318,4
1,2016-05-23,130.13,48306,5076,7
2,2016-05-18,146.2,62250,6010,6
3,2016-05-12,97.31,38443,4020,4
4,2016-05-10,104.74999999999999,52791,4502,3
5,2016-06-02,42.35,12011,1537,3
6,2016-05-13,80.72,34919,3571,2
7,2016-06-08,39.07,13176,1553,2
8,2016-06-16,30.29,8491,1324,1
9,2016-06-06,87.27999999999999,29806,3363,5
10,2016-05-27,84.41,34889,3177,5
11,2016-06-03,65.42,26134,2640,3
12,2016-05-24,131.53,85453,5666,3
13,2016-06-14,133.57,90072,5292,5
14,2016-06-07,8.32,783,233,1
15,2016-06-22,85.32,45933,3537,3
16,2016-05-16,63.09,25001,2526,3
17,2016-06-23,22.58,7611,928,1
