,date,fare,distance,duration,number of ride
0,2016-05-17,32.230000000000004,12672,1200,2
1,2016-05-26,36.18,15676,1580,1
2,2016-05-19,10.42,2393,331,1
3,2016-06-02,39.51,5758,1629,2
4,2016-05-24,13.37,4633,469,1
5,2016-04-25,56.52,30218,2342,2
6,2016-05-09,56.61,25795,2183,3
7,2016-05-11,160.4,45265,6676,7
8,2016-06-14,26.97,10411,1137,1
9,2016-05-04,16.64,3194,650,1
10,2016-04-27,27.18,4362,996,2
11,2016-05-05,100.24000000000001,24511,4273,4
12,2016-04-12,31.91,6224,1425,1
13,2016-04-11,19.61,10298,754,1
14,2016-05-31,27.130000000000003,4721,795,3
15,2016-05-12,23.15,6776,768,2
16,2016-05-18,59.61,23328,2357,3
17,2016-06-20,19.57,9866,755,1
18,2016-05-25,25.44,9632,1063,1
