,date,fare,distance,duration,number of ride
0,2016-05-06,177.95,56034,7320,8
1,2016-05-14,287.73999999999995,112535,11667,13
2,2016-04-02,182.20999999999998,55649,7348,9
3,2016-06-25,309.42999999999995,86782,12199,17
4,2016-05-15,278.47999999999996,114473,11170,13
5,2016-04-08,143.86,26841,5750,8
6,2016-06-02,169.44,36794,7012,8
7,2016-06-26,365.11999999999995,121411,14662,18
8,2016-04-10,215.61999999999998,66766,8425,12
9,2016-05-07,314.1700000000001,99749,12549,16
10,2016-04-16,248.99999999999997,82821,10639,9
11,2016-06-03,259.34000000000003,86079,10569,12
12,2016-04-17,106.86000000000001,28743,4196,6
13,2016-05-08,84.92,36485,3192,5
14,2016-05-28,331.19,95497,13078,18
15,2016-05-21,214.88000000000005,97053,8563,10
16,2016-04-15,194.22,54665,7983,9
17,2016-05-30,137.18,65075,5128,8
18,2016-05-22,97.03999999999999,30010,3870,5
19,2016-05-29,374.47999999999996,134401,14862,19
20,2016-04-09,111.47999999999999,36441,4187,7
21,2016-04-03,182.77,67031,7102,10
