,date,fare,distance,duration,number of ride
0,2016-05-20,241.13000000000002,53501,9851,12
1,2016-06-17,120.08,50125,4929,5
2,2016-05-21,165.26000000000002,35306,6217,11
3,2016-06-04,300.87,71660,11665,18
4,2016-06-23,193.35,46011,7608,11
5,2016-05-22,200.09000000000003,60936,8049,10
6,2016-06-22,229.13000000000002,45477,8891,14
7,2016-05-18,290.30999999999995,71584,11506,16
8,2016-05-28,216.16,71628,8810,10
9,2016-05-27,205.71,71642,8070,11
10,2016-05-02,203.57999999999998,66298,7996,11
11,2016-04-30,166.65,37575,6470,10
12,2016-04-29,173.39,47163,7144,8
13,2016-06-10,153.33,30836,5628,11
14,2016-05-17,261.65999999999997,63784,10263,15
15,2016-06-07,102.50999999999999,14864,4264,5
16,2016-06-09,89.31,16208,3566,5
17,2016-05-31,166.72,39555,6264,11
18,2016-05-13,312.72999999999996,61173,12555,17
19,2016-06-12,81.55,43432,3163,4
20,2016-06-15,163.25,31811,6530,9
21,2016-04-28,142.85,26176,5701,8
22,2016-06-11,175.84,58678,6800,10
23,2016-05-29,72.13,23986,3005,3
24,2016-06-24,116.79999999999998,28394,4522,7
25,2016-06-16,122.12,47183,4861,6
26,2016-06-03,142.65,48287,5533,8
27,2016-05-16,157.10000000000002,51162,6266,8
28,2016-05-24,135.78,36786,5061,9
29,2016-06-05,104.35,34182,4222,5
30,2016-05-14,59.78999999999999,14407,2234,4
31,2016-05-12,55.879999999999995,11139,2249,3
32,2016-06-01,151.26999999999998,31667,5709,10
33,2016-06-02,196.89999999999998,52411,8138,9
34,2016-05-23,37.5,11381,1484,2
