,date,fare,distance,duration,number of ride
0,2016-05-06,77.15,55729,3041,3
1,2016-06-25,159.96,43897,6468,8
2,2016-05-29,195.73,105628,8676,4
3,2016-05-07,97.89,24383,3956,5
4,2016-06-10,74.21000000000001,21278,3133,3
5,2016-04-30,84.94999999999999,38610,3179,5
6,2016-05-22,76.82,31555,3001,4
7,2016-05-28,145.31,56619,6003,6
8,2016-05-27,66.95,51656,2929,1
9,2016-05-15,12.16,2509,421,1
10,2016-05-20,87.26,26499,3581,4
11,2016-06-11,52.05,12514,2039,3
12,2016-05-21,60.14,19609,2411,3
13,2016-06-05,198.94,180908,8698,2
14,2016-05-02,26.740000000000002,7297,952,2
15,2016-06-04,67.46,26558,2939,2
16,2016-05-14,43.16,21691,1706,2
17,2016-05-01,14.44,2798,538,1
18,2016-05-30,17.15,5072,663,1
19,2016-05-10,12.35,3154,426,1
20,2016-05-09,15.2,3173,575,1
