,date,fare,distance,duration,number of ride
0,2016-05-24,398.18000000000006,92928,16003,21
1,2016-06-22,401.99999999999994,151773,16761,16
2,2016-05-23,238.88,55077,9527,13
3,2016-06-11,162.85999999999999,32317,6506,9
4,2016-05-14,65.14,11132,2537,4
5,2016-06-10,384.44,138658,16721,12
6,2016-05-21,233.45999999999998,65175,9368,12
7,2016-05-13,214.87000000000003,54714,9255,8
8,2016-06-21,415.28,182654,17429,15
9,2016-06-16,400.08,127032,17424,13
10,2016-05-22,72.71,15910,2702,5
11,2016-05-26,175.55,80510,6825,9
12,2016-06-05,90.93,23040,3406,6
13,2016-06-02,245.33,65711,9788,13
14,2016-06-24,184.43,58664,6801,12
15,2016-06-13,344.47999999999996,166067,14245,13
16,2016-05-10,153.67,50962,6285,7
17,2016-06-04,240.99,56968,9819,12
18,2016-05-20,323.90000000000003,98836,13455,14
19,2016-05-25,226.54,63058,9021,12
20,2016-06-15,341.37000000000006,88782,15025,11
21,2016-06-19,95.89,18114,3504,7
22,2016-06-18,85.29,18516,3340,5
23,2016-06-09,410.7900000000001,180006,17800,12
24,2016-06-08,306.22,110298,12646,13
25,2016-06-17,198.18,57223,8562,7
26,2016-06-07,439.81999999999994,126919,18520,18
27,2016-06-14,256.8299999999999,64817,10590,12
28,2016-06-01,77.78,18521,2948,5
29,2016-05-18,164.94,48019,6502,9
30,2016-05-16,157.39,47891,6501,7
31,2016-06-23,162.76999999999998,29602,6325,10
32,2016-06-06,446.41999999999996,190862,19387,13
33,2016-06-03,315.83,94421,12478,17
34,2016-05-05,78.1,16263,2980,5
35,2016-05-12,168.14,43369,6507,10
36,2016-05-07,219.36,52175,8725,12
37,2016-06-25,86.68,41803,3442,4
38,2016-05-27,59.849999999999994,14507,2432,3
39,2016-05-17,120.95,36069,4488,8
40,2016-05-31,314.89000000000004,144380,13834,8
41,2016-05-09,131.83,39255,5229,7
42,2016-06-12,51.02,46428,2135,1
43,2016-05-15,31.81,9818,1198,2
44,2016-05-06,79.96,33719,3149,4
45,2016-05-11,129.15,23847,5003,8
46,2016-05-19,163.23999999999998,34394,6706,8
47,2016-05-08,27.22,8240,1166,1
48,2016-06-20,158.84,63462,6269,8
