,date,fare,distance,duration,number of ride
0,2016-05-11,200.33,52651,8316,9
1,2016-05-12,384.9,96425,16068,17
2,2016-06-23,76.82,32624,3188,3
3,2016-06-04,101.91,40623,4245,4
4,2016-05-19,385.17,96747,15868,18
5,2016-06-22,115.52000000000001,28523,4650,6
6,2016-06-10,114.67,35759,4749,5
7,2016-05-25,211.87000000000003,44485,8780,10
8,2016-06-19,70.21000000000001,20471,2735,4
9,2016-05-10,273.95,60265,11319,13
10,2016-05-09,187.79,46736,7508,10
11,2016-05-28,279.03000000000003,81205,11240,14
12,2016-06-20,311.16,103867,13928,8
13,2016-05-29,172.84,57852,7235,7
14,2016-06-21,142.56000000000003,27546,6459,4
15,2016-06-01,104.06,21347,4298,5
16,2016-06-16,304.88,73469,12448,15
17,2016-05-31,134.26,42172,5530,6
18,2016-06-14,260.48,70305,10937,11
19,2016-05-24,133.67000000000002,16255,5684,6
20,2016-06-12,114.0,38134,4502,6
21,2016-06-25,130.39000000000001,27186,5435,6
22,2016-06-18,107.47,28366,4622,4
23,2016-05-23,276.55000000000007,68678,11982,10
24,2016-06-07,303.74,118965,13043,10
25,2016-05-06,213.61,54901,9188,8
26,2016-06-24,224.02,41164,9438,10
27,2016-05-15,261.21000000000004,110013,10886,10
28,2016-06-02,334.13000000000005,96435,13614,16
29,2016-06-17,210.26,40054,8727,10
30,2016-06-15,121.91999999999999,24860,5010,6
31,2016-06-13,353.72999999999996,115099,14897,14
32,2016-05-21,53.86,9855,2153,3
33,2016-05-05,99.85000000000001,41830,3933,5
34,2016-06-26,98.32,21632,3801,6
35,2016-05-17,356.03999999999996,117013,14805,15
36,2016-05-27,227.93000000000004,84970,9329,10
37,2016-05-16,224.14,54559,9544,9
38,2016-06-03,119.45,19629,5114,5
39,2016-05-18,35.94,5080,1252,3
40,2016-06-08,265.25,69174,10803,13
41,2016-06-09,19.34,3015,792,1
42,2016-05-22,100.41,65358,4186,3
43,2016-05-04,21.04,5228,865,1
