,date,fare,distance,duration,number of ride
0,2016-06-10,269.66,52190,11349,12
1,2016-06-06,159.23,30692,6719,7
2,2016-06-11,152.26,32396,6148,8
3,2016-06-18,333.15999999999997,68153,13180,19
4,2016-06-19,99.41000000000001,25394,3832,6
5,2016-05-06,28.270000000000003,3704,1057,2
6,2016-06-15,232.23000000000002,35876,9317,13
7,2016-06-22,62.33,12454,2185,5
8,2016-05-09,175.79,42452,7108,9
9,2016-05-07,84.30000000000001,24139,3443,4
10,2016-06-16,341.38,62287,14236,16
11,2016-06-24,127.57,28132,5281,6
12,2016-05-05,55.129999999999995,13677,2388,2
13,2016-06-17,203.13,126556,8913,4
14,2016-05-15,89.11,15423,3756,4
15,2016-06-23,198.40000000000003,53627,8013,10
16,2016-06-21,294.72,143102,11812,13
17,2016-05-13,279.26000000000005,98748,11322,13
18,2016-05-10,204.32,81903,8902,6
19,2016-05-03,53.67,14094,2308,2
20,2016-05-14,114.94,24813,4646,6
21,2016-06-08,121.64,20385,5418,4
22,2016-05-12,75.23,29708,3126,3
23,2016-06-07,212.10000000000002,91833,8650,9
24,2016-06-20,156.32,48480,6049,9
25,2016-06-12,28.630000000000003,4531,1070,2
26,2016-06-09,130.74,25509,5465,6
