,date,fare,distance,duration,number of ride
0,2016-06-15,132.97,25902,5188,8
1,2016-06-05,221.89999999999998,90485,8780,11
2,2016-05-16,375.81,109038,15307,18
3,2016-06-24,463.18999999999994,161109,19691,17
4,2016-05-20,74.47,20024,2960,4
5,2016-05-14,243.36,125593,10236,8
6,2016-06-03,180.77,77373,7314,8
7,2016-05-27,283.42,97732,12133,10
8,2016-06-17,14.8,4175,547,1
9,2016-06-14,95.08,30373,3766,5
10,2016-06-06,96.92999999999999,35107,3633,6
11,2016-05-28,137.18,56424,5581,6
12,2016-05-29,302.75,105799,12693,12
13,2016-05-15,329.89,74505,13354,17
14,2016-05-31,89.35000000000001,33612,3444,5
15,2016-06-25,375.31,188764,15692,13
16,2016-05-18,186.23,40366,7668,9
17,2016-05-17,426.41999999999996,127043,17820,18
18,2016-06-04,83.69999999999999,21785,3233,5
19,2016-06-09,94.05,19568,3593,6
20,2016-06-07,202.55,58169,8979,6
21,2016-05-21,114.92,38287,4745,5
22,2016-05-30,210.64999999999998,87028,8217,11
23,2016-06-16,165.24999999999997,46216,6531,9
24,2016-06-01,75.28999999999999,33574,2906,4
25,2016-05-22,143.41,70397,5806,6
26,2016-06-02,25.83,21060,1002,1
