,date,fare,distance,duration,number of ride
0,2016-05-11,111.07000000000001,20636,4278,7
1,2016-05-20,140.79,21573,5627,8
2,2016-05-12,167.76,45920,6860,8
3,2016-05-26,135.29999999999998,35918,5434,7
4,2016-05-29,146.94,31634,5876,8
5,2016-05-23,143.47,91131,6053,4
6,2016-06-06,76.28,33399,3155,3
7,2016-05-02,196.66,91701,7846,9
8,2016-05-19,42.99,11409,1770,2
9,2016-05-21,256.6,53528,10463,13
10,2016-06-04,207.61000000000004,44319,8951,8
11,2016-05-18,123.5,26135,5083,6
12,2016-04-30,115.19999999999999,53552,4846,4
13,2016-05-07,145.03,46494,5866,7
14,2016-05-22,342.95,145024,14315,13
15,2016-05-10,117.25,40347,4655,6
16,2016-05-14,231.54999999999995,73291,9406,11
17,2016-06-03,76.25,16079,3081,4
18,2016-05-06,152.09,38623,6095,8
19,2016-06-14,61.99,24871,2666,2
20,2016-05-04,167.66000000000003,54032,6993,7
21,2016-05-13,78.15,29210,3282,3
22,2016-06-16,45.010000000000005,6307,1716,3
23,2016-06-20,39.71,9768,1415,3
24,2016-04-29,92.37,52604,3661,4
25,2016-06-07,100.66,22640,4308,4
26,2016-06-10,74.83,18120,3188,3
27,2016-05-30,69.1,17502,2698,4
28,2016-05-25,56.14,9935,2467,2
29,2016-06-09,35.47,22000,1498,1
30,2016-05-16,83.75,34021,3540,3
31,2016-05-01,101.72,37408,3866,6
32,2016-05-09,55.690000000000005,29350,2109,3
33,2016-05-05,290.83,82635,13019,8
34,2016-06-19,14.76,5844,533,1
35,2016-05-17,60.519999999999996,16082,2456,3
36,2016-05-28,39.44,9507,1599,2
37,2016-06-18,16.48,3406,640,1
38,2016-06-25,15.83,2689,611,1
39,2016-06-21,38.839999999999996,21396,1483,2
40,2016-06-02,23.93,4875,1018,1
41,2016-06-15,18.52,2060,756,1
42,2016-06-17,17.16,3489,675,1
43,2016-06-05,28.95,8503,1254,1
