,date,fare,distance,duration,number of ride
0,2016-04-22,151.31,41847,5835,9
1,2016-04-26,106.48999999999998,31132,3964,7
2,2016-04-21,77.96,26338,3097,4
3,2016-04-25,63.87,25435,2564,3
4,2016-04-23,82.29,44564,2998,5
5,2016-04-11,95.83999999999999,35512,3377,7
6,2016-05-21,149.20000000000002,60834,5785,8
7,2016-04-27,140.60999999999999,33818,5139,10
8,2016-05-19,231.92000000000002,111946,9737,8
9,2016-04-08,69.32,24676,2658,4
10,2016-05-26,162.03,75188,6156,9
11,2016-05-09,138.57999999999998,104102,5314,6
12,2016-05-03,212.42999999999998,134626,8558,8
13,2016-05-23,145.25,101041,5879,5
14,2016-04-28,81.39,21561,3114,5
15,2016-05-05,112.58,42235,4399,6
16,2016-05-06,182.16000000000003,77961,6991,10
17,2016-04-15,112.84,30009,4304,7
18,2016-05-02,189.20000000000002,92960,6861,12
19,2016-05-13,274.21,80309,11582,11
20,2016-05-04,70.97999999999999,25938,2345,6
21,2016-04-18,77.5,28485,2863,5
22,2016-05-12,69.32,42250,2924,2
23,2016-04-05,72.23,19030,2850,4
24,2016-05-07,86.71000000000001,19778,3405,5
25,2016-06-03,39.64,10151,1409,3
26,2016-04-16,58.47999999999999,26914,2272,3
27,2016-04-20,40.28,10453,1636,2
28,2016-05-11,70.88,31294,2692,4
29,2016-05-14,62.980000000000004,7282,2255,5
30,2016-06-08,9.88,2058,305,1
31,2016-05-24,76.19,39722,2909,4
32,2016-05-16,244.14000000000001,118277,10329,8
33,2016-05-10,105.94,44039,4039,6
34,2016-04-12,51.910000000000004,14310,1824,4
35,2016-04-17,10.82,4348,338,1
36,2016-04-30,76.42,23332,2647,6
37,2016-04-29,72.53,19511,3058,3
38,2016-05-31,41.94,13190,1507,3
39,2016-05-18,56.05,10262,2264,3
40,2016-05-20,84.34,26892,3034,6
41,2016-04-19,98.22,26905,3759,6
42,2016-05-27,30.7,7896,1154,2
43,2016-04-10,36.93,12604,1250,3
44,2016-06-11,21.490000000000002,3070,708,2
45,2016-05-30,13.47,4498,475,1
46,2016-06-10,7.11,729,170,1
47,2016-06-02,43.57,31335,1854,1
48,2016-05-17,49.260000000000005,10630,2103,2
49,2016-05-28,21.85,16333,828,1
