,date,fare,distance,duration,number of ride
0,2016-05-15,166.98,75771,6606,8
1,2016-06-24,178.09,44646,7017,10
2,2016-06-11,196.53,36527,7786,11
3,2016-05-30,142.74,42451,5384,9
4,2016-06-25,152.91000000000003,66470,5743,9
5,2016-06-05,213.79000000000002,77440,8841,9
6,2016-05-17,134.56,34079,5995,4
7,2016-06-01,194.91,53493,8027,9
8,2016-05-25,275.37999999999994,61945,11188,14
9,2016-05-14,288.14000000000004,96098,11413,15
10,2016-06-18,226.81,80410,8913,12
11,2016-06-04,155.7,45225,5845,10
12,2016-06-23,163.72000000000003,61544,6929,6
13,2016-05-27,280.38,72494,10786,17
14,2016-06-09,175.68,44417,7088,9
15,2016-05-29,142.65,44891,5557,8
16,2016-05-19,144.19,52484,5779,7
17,2016-06-07,194.27000000000004,51688,7615,11
18,2016-06-15,161.34000000000003,42124,6553,8
19,2016-05-31,95.78999999999999,31947,3792,5
20,2016-05-12,49.7,11676,1923,3
21,2016-06-22,105.57000000000001,25477,3957,7
22,2016-06-20,213.85000000000002,87681,8576,10
23,2016-06-10,182.89000000000001,39608,6911,12
24,2016-05-13,314.54,103747,12931,14
25,2016-06-13,120.33999999999999,26696,4523,8
26,2016-05-23,113.19999999999999,31621,4507,6
27,2016-05-24,146.13,45209,5541,9
28,2016-06-08,85.44999999999999,24095,3308,5
29,2016-06-17,304.80999999999995,131603,12226,14
30,2016-05-21,390.75,117734,15635,20
31,2016-06-19,144.03000000000003,53294,5960,6
32,2016-06-21,247.13000000000002,93127,10272,10
33,2016-06-26,232.01,106888,8799,13
34,2016-05-20,345.51000000000005,162274,14913,10
35,2016-06-02,110.07,45001,4248,6
36,2016-05-28,61.84,14418,2341,4
37,2016-06-14,154.39,58217,5879,9
38,2016-05-16,45.91,22289,1845,2
39,2016-05-18,184.12,43014,7147,11
40,2016-05-26,176.70000000000002,79170,7285,7
41,2016-06-03,88.38,19156,3692,4
42,2016-05-22,48.91,23906,1990,2
