,date,fare,distance,duration,number of ride
0,2016-05-10,199.84000000000003,45098,8344,9
1,2016-04-10,153.33,35352,6378,7
2,2016-04-23,354.51,118345,14718,15
3,2016-04-16,267.15000000000003,77861,11231,11
4,2016-05-02,63.11,16705,2587,3
5,2016-05-27,65.49,11781,2550,4
6,2016-06-03,178.65999999999997,43586,7250,9
7,2016-05-21,117.91,48317,5025,4
8,2016-05-25,144.64000000000001,46469,6237,5
9,2016-04-22,55.17,12390,2203,3
10,2016-06-24,122.51,35278,4771,7
11,2016-04-26,150.59,30663,6268,7
12,2016-04-04,49.730000000000004,19116,1844,3
13,2016-06-07,246.08,80483,10504,9
14,2016-06-22,183.16,96395,7499,7
15,2016-05-31,90.98999999999998,24648,3593,5
16,2016-06-08,233.7,51347,10066,9
17,2016-06-01,260.77,72953,10737,12
18,2016-05-03,82.59,15560,3220,5
19,2016-04-19,139.83,43949,5613,7
20,2016-05-20,102.07,35468,3899,6
21,2016-04-24,146.95,49470,5945,7
22,2016-06-11,55.209999999999994,19469,1959,4
23,2016-05-01,132.35,68549,5242,6
24,2016-06-12,128.98,39308,4884,8
25,2016-05-13,54.910000000000004,12899,2186,3
26,2016-04-11,79.22,20478,3205,4
27,2016-04-27,83.05000000000001,20095,3212,5
28,2016-05-12,92.5,24405,4065,3
29,2016-05-29,66.44999999999999,19670,2544,4
30,2016-06-16,61.0,21745,2245,4
31,2016-05-14,162.59,82871,6522,7
32,2016-05-28,66.81,16974,2386,5
33,2016-06-14,230.0,55745,9451,11
34,2016-06-02,140.26000000000002,29966,5734,7
35,2016-05-17,92.06,21592,4062,3
36,2016-04-18,108.04,33537,4615,4
37,2016-04-30,103.07000000000001,30924,3983,6
38,2016-06-15,51.04,29025,1869,3
39,2016-05-24,121.97,27800,5383,4
40,2016-06-23,82.15,35954,3443,3
41,2016-04-15,25.82,5301,918,2
42,2016-06-25,23.37,4619,795,2
43,2016-05-18,8.76,1204,253,1
