,date,fare,distance,duration,number of ride
0,2016-06-03,278.81,78461,11248,14
1,2016-06-13,351.88000000000005,95880,14936,14
2,2016-06-23,344.04,115392,14387,14
3,2016-05-21,366.85999999999996,80530,14653,20
4,2016-06-16,387.55,103644,15361,21
5,2016-05-29,277.21000000000004,73081,11399,13
6,2016-05-17,415.18000000000006,99365,16843,21
7,2016-05-06,148.04,43921,6041,7
8,2016-06-02,189.14,31092,6907,14
9,2016-06-07,365.09000000000003,73179,15201,17
10,2016-06-20,72.53,12551,2912,4
11,2016-06-08,332.5600000000001,95326,12758,20
12,2016-05-27,349.92999999999995,108035,14355,16
13,2016-05-25,380.12000000000006,80139,15935,17
14,2016-06-11,478.31999999999994,238085,19540,19
15,2016-05-30,392.93000000000006,166124,15793,18
16,2016-06-24,349.97999999999996,73773,14799,15
17,2016-05-28,570.39,136125,23311,28
18,2016-05-18,366.49,85775,15379,16
19,2016-05-14,469.4,156962,19652,19
20,2016-05-20,312.33,91051,13249,12
21,2016-06-18,329.8,87567,13646,15
22,2016-05-13,134.45000000000002,21545,5492,7
23,2016-06-17,264.71999999999997,86112,11045,11
24,2016-06-26,313.9,64246,12593,17
25,2016-05-31,322.78000000000003,78556,12172,21
26,2016-06-01,205.62,57726,8360,10
27,2016-06-10,280.3900000000001,74063,10579,18
28,2016-05-04,237.09999999999997,65504,9751,11
29,2016-05-24,383.83,89532,16061,17
30,2016-05-10,221.32,59980,9163,10
31,2016-06-05,284.94000000000005,60611,10912,18
32,2016-05-26,308.76,73569,12650,15
33,2016-06-14,242.01,68243,9400,14
34,2016-06-25,467.99,129992,18187,27
35,2016-05-19,352.79,189243,14709,12
36,2016-06-04,396.3099999999999,107464,15997,20
37,2016-06-15,301.74000000000007,65160,11560,19
38,2016-05-07,414.4599999999999,110100,17121,19
39,2016-05-15,292.91,90891,11896,14
40,2016-05-05,137.57,58083,5785,5
41,2016-05-22,60.41,13550,2468,3
42,2016-05-09,170.55,38023,7062,8
43,2016-06-09,323.42999999999995,93906,13075,16
44,2016-05-12,223.19,47114,8961,12
45,2016-05-23,100.39999999999999,19303,3731,7
46,2016-05-11,14.53,3021,541,1
