,date,fare,distance,duration,number of ride
0,2016-05-29,260.09999999999997,56891,10426,14
1,2016-04-28,66.21000000000001,16059,2753,3
2,2016-06-20,157.61,34892,6605,7
3,2016-04-25,130.99,25426,5283,7
4,2016-06-04,143.28,28254,6100,6
5,2016-06-01,139.55,35034,5857,6
6,2016-06-23,81.18,24455,3083,5
7,2016-05-02,106.24999999999999,30503,4347,5
8,2016-05-17,237.09,49999,9275,14
9,2016-05-03,85.88,35261,3446,4
10,2016-05-31,196.56,64978,8226,8
11,2016-06-07,32.629999999999995,3909,1283,2
12,2016-05-12,199.64999999999998,39311,8571,8
13,2016-04-17,183.71,73451,7300,9
14,2016-04-27,156.85,37349,6156,9
15,2016-06-18,78.19,18927,2966,5
16,2016-05-13,190.28,56233,7570,10
17,2016-05-08,200.54000000000002,80831,7930,10
18,2016-06-03,226.10000000000002,84000,9632,8
19,2016-04-30,201.10000000000002,44475,8414,9
20,2016-06-14,184.76999999999998,54787,7684,8
21,2016-05-07,221.79999999999998,78592,8859,11
22,2016-05-14,212.85000000000002,55327,8559,11
23,2016-06-11,75.82,18201,3239,3
24,2016-06-10,120.78,49536,4970,5
25,2016-04-21,121.46,22324,4808,7
26,2016-06-22,122.85,26565,5046,6
27,2016-06-12,107.44,29923,4414,5
28,2016-04-15,85.49,31006,3457,4
29,2016-06-09,134.14,54918,5433,6
30,2016-06-02,136.81,25641,5585,7
31,2016-05-06,205.21,43220,8638,9
32,2016-06-06,17.1,3012,675,1
33,2016-05-05,72.05000000000001,48771,3020,2
34,2016-04-22,190.69,39998,7707,10
35,2016-06-26,139.28,34406,5260,9
36,2016-05-04,89.53,44672,3570,4
37,2016-06-21,42.650000000000006,7982,1386,4
38,2016-04-19,182.82,111480,7960,4
39,2016-04-24,31.759999999999998,6321,1221,2
40,2016-06-16,40.07,10257,1822,1
