,date,fare,distance,duration,number of ride
0,2016-06-24,76.56,19081,3076,4
1,2016-04-22,157.46,33268,6804,6
2,2016-06-14,143.37,23678,5747,8
3,2016-05-04,213.51999999999998,43148,8681,11
4,2016-05-09,161.38000000000002,29248,6450,9
5,2016-06-16,172.14000000000001,39006,7138,8
6,2016-04-18,186.70000000000002,44590,8249,6
7,2016-05-08,99.06,20936,3845,6
8,2016-04-20,155.48999999999998,19699,6602,7
9,2016-06-15,125.05,28085,4954,7
10,2016-04-24,79.49,13940,2874,6
11,2016-05-01,30.439999999999998,4610,1164,2
12,2016-06-02,76.72,24407,3046,4
13,2016-06-13,63.199999999999996,18198,2581,3
14,2016-05-06,98.59,23181,4000,5
15,2016-06-17,91.05,16007,3463,6
16,2016-06-04,112.12,26895,4484,6
17,2016-05-02,128.24,22323,5358,6
18,2016-04-25,95.00999999999999,28141,3974,4
19,2016-06-19,161.14,44746,6132,10
20,2016-06-05,114.28999999999999,32371,4558,6
21,2016-04-21,115.11000000000001,20173,4688,6
22,2016-06-10,116.03999999999999,25578,4698,6
23,2016-06-07,31.53,5969,1211,2
24,2016-06-25,78.66,36879,3058,4
25,2016-04-19,180.71999999999997,34135,7425,9
26,2016-05-05,78.0,18648,3350,3
27,2016-06-21,13.34,1839,487,1
28,2016-06-23,155.58,30177,6336,8
29,2016-04-17,34.4,6482,1357,2
30,2016-05-21,63.010000000000005,9890,2630,3
31,2016-05-17,89.55,15202,3781,4
32,2016-05-07,100.9,20733,3943,6
33,2016-04-23,62.92,18600,2563,3
34,2016-06-11,52.14,10073,2061,3
