,date,fare,distance,duration,number of ride
0,2016-06-15,158.86,27692,6526,8
1,2016-06-16,292.82,90996,12280,12
2,2016-06-06,269.37,56072,11111,13
3,2016-05-19,219.07000000000002,51584,9105,10
4,2016-04-29,87.58,16479,3278,6
5,2016-06-10,292.92999999999995,93988,11874,14
6,2016-06-13,42.739999999999995,18303,1708,2
7,2016-06-14,191.47000000000003,69485,8125,7
8,2016-05-22,55.019999999999996,33573,2240,2
9,2016-05-18,287.28999999999996,69398,12147,12
10,2016-05-20,360.4,115514,14849,16
11,2016-05-04,198.55,45132,7886,11
12,2016-05-09,64.42,18160,2645,3
13,2016-06-17,284.12,83761,11487,14
14,2016-06-07,118.34,25125,4821,6
15,2016-06-03,163.98,36104,6733,8
16,2016-06-19,58.32000000000001,29298,2443,2
17,2016-06-18,169.94,36441,6455,11
18,2016-04-25,33.92,7940,1322,2
19,2016-05-31,65.06,18786,2673,3
20,2016-05-21,254.43,53621,10153,14
21,2016-05-03,47.489999999999995,13890,1987,2
22,2016-05-10,70.97,14770,3010,3
23,2016-06-09,184.14,56709,7637,8
24,2016-06-08,22.23,2960,943,1
25,2016-06-01,39.300000000000004,7020,1609,2
26,2016-04-30,23.84,3984,824,2
