,date,fare,distance,duration,number of ride
0,2016-06-03,234.98999999999998,42499,9610,12
1,2016-05-20,240.34,56995,10177,10
2,2016-05-14,79.53,25893,3182,4
3,2016-06-17,160.13,36198,6140,10
4,2016-05-21,64.0,33235,2515,3
5,2016-05-23,263.28999999999996,84793,10590,13
6,2016-06-12,155.19,68117,6633,5
7,2016-05-22,164.51999999999998,46820,6489,9
8,2016-05-15,452.59,134195,19106,18
9,2016-05-04,308.81999999999994,91828,12522,15
10,2016-06-24,138.61,25840,5678,7
11,2016-04-30,174.34999999999997,34203,6896,10
12,2016-06-15,131.41,43969,5173,7
13,2016-04-27,22.7,10018,917,1
14,2016-06-19,102.69999999999999,35137,4129,5
15,2016-06-11,115.4,40661,4557,6
16,2016-06-08,221.42000000000002,74979,9453,8
17,2016-05-08,47.239999999999995,14560,1774,3
18,2016-05-27,106.94999999999999,18307,4080,7
19,2016-06-04,28.47,11530,1012,2
20,2016-06-18,192.7,46095,7573,11
21,2016-06-26,218.72,53713,8876,11
22,2016-05-10,63.11,14521,2798,2
23,2016-06-01,316.71000000000004,83921,13186,14
24,2016-05-28,44.800000000000004,13933,1651,3
25,2016-06-21,42.51,21080,1676,2
26,2016-06-25,298.19,81189,11848,16
27,2016-06-09,156.48,57385,6386,7
28,2016-05-13,111.31,42049,4334,6
29,2016-06-05,120.8,85981,4907,4
30,2016-05-09,143.63,46162,5795,7
31,2016-06-06,143.14,115374,5863,4
32,2016-06-16,138.35999999999999,36360,5590,7
33,2016-06-02,163.41,37092,6892,7
34,2016-05-31,58.19,13698,2155,4
35,2016-05-02,211.19,108151,9660,3
36,2016-05-03,20.39,3677,842,1
37,2016-06-07,33.98,22455,1417,1
38,2016-05-05,11.09,2684,364,1
