,date,fare,distance,duration,number of ride
0,2016-06-15,366.2,117551,15725,13
1,2016-06-11,306.64,118699,12413,14
2,2016-06-24,431.01,116485,17547,21
3,2016-05-24,259.8,139139,10998,8
4,2016-05-18,349.79,99789,14604,15
5,2016-06-18,367.57000000000005,99970,14551,20
6,2016-05-26,290.49,63298,12356,12
7,2016-06-23,280.65,80118,11136,15
8,2016-06-16,373.91,109559,15205,18
9,2016-05-23,179.86,65123,7354,8
10,2016-06-25,493.28000000000003,118969,19605,27
11,2016-05-13,216.72999999999996,103286,8614,10
12,2016-05-12,13.21,2172,478,1
13,2016-06-04,299.03999999999996,63270,12411,14
14,2016-05-16,361.61,155507,14431,17
15,2016-06-17,405.77,86389,16445,21
16,2016-05-15,50.53,12689,1763,4
17,2016-06-10,394.72,136975,16681,15
18,2016-06-02,233.98999999999998,87113,9631,10
19,2016-05-27,381.58000000000004,132578,16028,15
20,2016-06-08,392.17999999999995,128711,16022,18
21,2016-06-13,354.96999999999997,110824,14404,17
22,2016-06-06,199.81,70457,7966,10
23,2016-06-12,154.02,56438,6263,7
24,2016-06-20,132.56,70143,5633,4
25,2016-05-25,156.74,44719,6293,8
26,2016-05-28,220.67,46574,9029,11
27,2016-06-01,160.0,58502,6365,8
28,2016-06-07,231.04999999999998,90779,10038,7
29,2016-06-14,299.2,128689,12540,11
30,2016-05-22,307.45000000000005,105645,12940,12
31,2016-05-17,329.28000000000003,184191,13518,12
32,2016-06-09,114.74000000000001,41758,4710,5
33,2016-05-30,182.41000000000003,94146,6889,10
34,2016-05-20,162.70999999999998,92447,6852,5
35,2016-05-19,196.52,58435,8662,6
36,2016-06-03,136.15,15358,6407,3
37,2016-05-31,127.13,51789,5285,5
