,date,fare,distance,duration,number of ride
0,2016-05-27,188.87,60888,7659,9
1,2016-06-07,141.94,42587,5928,6
2,2016-05-04,216.62,84646,8741,10
3,2016-05-07,139.93999999999997,30566,5323,9
4,2016-05-20,218.81000000000003,36192,8811,12
5,2016-05-28,208.53000000000003,58680,8700,9
6,2016-05-24,123.69,46131,5342,4
7,2016-05-22,114.69999999999999,20235,4862,5
8,2016-06-02,163.41000000000003,28075,6173,11
9,2016-05-11,175.01,51475,7199,8
10,2016-05-16,164.63,42752,6523,9
11,2016-05-25,205.04,62164,8102,11
12,2016-05-13,150.89,29926,6290,7
13,2016-05-09,243.79999999999998,52097,9804,13
14,2016-05-06,230.76,57972,9670,10
15,2016-06-10,220.76999999999998,41327,9072,11
16,2016-05-29,35.27,6543,1598,1
17,2016-05-12,87.72999999999999,24601,3619,4
18,2016-06-06,197.38,41365,7850,11
19,2016-05-14,72.64999999999999,15374,2898,4
20,2016-05-18,163.32,41906,6657,8
21,2016-05-03,94.22,60106,3900,3
22,2016-05-23,111.72,29937,4833,4
23,2016-05-05,169.03,115491,7017,5
24,2016-06-11,206.44,62531,8565,9
25,2016-05-08,108.68,27547,4104,7
26,2016-06-12,180.0,57836,7218,9
27,2016-05-21,165.35999999999999,33153,6826,8
28,2016-06-08,180.47,53534,7273,9
29,2016-06-01,60.31,25218,2380,3
30,2016-05-15,202.09,51161,8222,10
31,2016-05-17,267.7,134292,11444,8
32,2016-06-13,119.58999999999999,24681,4889,6
33,2016-05-26,167.21000000000004,39520,6877,8
34,2016-06-03,18.97,6178,750,1
35,2016-06-20,35.03,11135,1357,2
36,2016-06-09,148.07000000000002,38648,6667,4
37,2016-05-01,119.49,24618,4885,6
38,2016-05-19,77.7,22048,3114,4
39,2016-06-19,10.88,2413,355,1
40,2016-05-30,415.72,3931,24576,2
