,date,fare,distance,duration,number of ride
0,2016-06-23,109.1,32158,4094,7
1,2016-05-30,172.98,84057,7056,7
2,2016-05-02,107.64999999999999,25222,4458,5
3,2016-06-09,178.88,34759,6933,11
4,2016-05-12,57.2,10458,2127,4
5,2016-05-16,128.92000000000002,33638,4921,8
6,2016-05-29,52.28,24300,2163,2
7,2016-05-19,132.89000000000001,52781,5187,7
8,2016-06-15,129.76000000000002,27315,5206,7
9,2016-05-11,154.56999999999996,36535,6043,9
10,2016-04-02,376.91,78055,14999,21
11,2016-05-18,68.61,22328,2833,3
12,2016-06-06,124.00999999999999,50789,4934,6
13,2016-04-21,137.75,60637,5385,7
14,2016-04-27,119.52999999999999,35437,4810,6
15,2016-06-16,120.68,46351,4792,6
16,2016-06-07,158.26,106157,6326,6
17,2016-05-07,341.69,97318,13806,17
18,2016-04-26,189.19,81976,7330,10
19,2016-05-17,128.97,56662,5151,6
20,2016-06-21,46.489999999999995,8875,1580,4
21,2016-04-22,112.03,45508,4542,5
22,2016-04-07,49.48,11516,2108,2
23,2016-04-28,98.5,23880,3991,5
24,2016-04-09,235.15,69861,9227,13
25,2016-04-08,29.86,5269,933,3
26,2016-05-24,164.63,42193,6919,7
27,2016-06-14,70.07000000000001,16748,2558,5
28,2016-05-26,158.24,63075,6241,8
29,2016-05-09,165.38,35610,6418,10
30,2016-06-22,169.39999999999998,57641,6862,8
31,2016-04-17,141.32000000000002,55592,5021,10
32,2016-05-28,98.16000000000001,53934,3758,5
33,2016-04-25,47.15,22717,1907,2
34,2016-06-08,127.44000000000001,38530,5004,7
35,2016-06-24,60.3,19791,2418,3
36,2016-05-03,240.65000000000003,87260,9585,12
37,2016-04-03,17.46,3003,498,2
38,2016-04-12,143.11,83051,5701,6
39,2016-05-06,114.46,22935,4634,6
40,2016-03-31,61.74,24122,2658,2
41,2016-04-30,98.82000000000001,23672,4205,4
42,2016-05-10,82.37,18921,3185,5
43,2016-04-15,65.72,15691,2730,3
44,2016-05-04,121.05000000000001,38236,5064,5
45,2016-04-05,67.12,24514,2936,2
46,2016-04-04,57.150000000000006,10352,2321,3
47,2016-04-19,53.150000000000006,11283,2106,3
48,2016-04-14,81.56,15098,3365,4
49,2016-04-18,27.06,7722,1161,1
50,2016-04-06,81.44,15688,3550,3
51,2016-06-17,47.58,13336,1800,3
