,date,fare,distance,duration,number of ride
0,2016-04-28,428.44,87458,17620,21
1,2016-06-16,313.76,99411,12726,15
2,2016-06-10,228.93,78621,9427,10
3,2016-06-25,206.16000000000003,53895,8611,9
4,2016-05-14,275.12,88619,11179,13
5,2016-06-05,484.2800000000001,120738,20492,20
6,2016-06-19,418.50999999999993,137131,17726,16
7,2016-05-06,178.5,31555,6937,11
8,2016-05-22,239.42999999999998,68399,9852,11
9,2016-06-23,324.53999999999996,84910,14370,10
10,2016-06-12,170.79000000000002,71576,6639,9
11,2016-05-29,284.6699999999999,104043,10392,19
12,2016-04-30,346.67,75213,14029,18
13,2016-05-04,238.90000000000003,54912,9725,12
14,2016-06-04,547.67,180753,22393,25
15,2016-05-30,141.37,107940,6019,3
16,2016-04-29,268.29,65019,10795,14
17,2016-06-17,310.15999999999997,83587,12848,14
18,2016-05-21,409.61,104552,16517,21
19,2016-06-18,346.62,94944,14081,17
20,2016-05-13,309.53000000000003,85154,12803,14
21,2016-05-27,315.62000000000006,90665,12886,15
22,2016-06-09,226.67,52577,9495,10
23,2016-04-27,147.85,31732,6118,7
24,2016-05-20,257.09000000000003,60679,10438,13
25,2016-05-28,289.26000000000005,140441,11547,13
26,2016-06-24,220.19,83876,8934,10
27,2016-06-03,282.02,56247,11573,14
28,2016-05-05,210.71,43572,8530,11
29,2016-06-11,186.65,76063,7631,8
30,2016-05-26,116.52999999999999,57619,4690,5
31,2016-06-02,118.66,77905,4853,4
32,2016-05-01,40.839999999999996,10149,1667,2
33,2016-06-06,21.5,12097,840,1
34,2016-06-20,75.10000000000001,22596,3170,3
35,2016-05-15,255.00000000000003,69701,10460,12
