,date,fare,distance,duration,number of ride
0,2016-06-07,32.52,17080,1379,1
1,2016-06-04,142.38,84355,6044,4
2,2016-06-10,16.3,0,186,3
3,2016-05-30,73.03999999999999,38504,3145,2
4,2016-06-02,43.92,11532,1818,2
5,2016-05-28,182.89000000000001,120148,7511,6
6,2016-05-12,44.31,16905,1800,2
7,2016-06-09,31.95,32,231,6
8,2016-06-08,48.61,8,1018,7
9,2016-05-11,44.39,20882,1776,2
10,2016-05-16,161.67000000000002,87003,6640,6
11,2016-05-25,19.52,10748,746,1
12,2016-05-27,66.16,14411,2762,3
13,2016-05-31,20.07,118,136,4
14,2016-06-06,10.99,2319,361,1
15,2016-05-18,118.17999999999999,41952,4888,5
16,2016-06-03,5.0,5,16,1
17,2016-05-21,9.37,1746,281,1
18,2016-05-17,17.44,2678,695,1
19,2016-06-01,8.73,2611,241,1
