,date,fare,distance,duration,number of ride
0,2016-06-20,183.90000000000003,48601,7683,8
1,2016-04-15,154.8,22949,6152,9
2,2016-04-23,311.18,76273,12757,15
3,2016-04-03,312.0,73895,12816,15
4,2016-06-22,152.12,58009,6153,7
5,2016-06-23,184.17999999999998,62198,7601,8
6,2016-04-10,280.48,75352,11161,15
7,2016-04-16,216.05999999999997,88119,8688,10
8,2016-04-01,268.79,73664,11346,11
9,2016-06-13,56.93000000000001,9704,2314,3
10,2016-05-03,198.87,37105,7764,12
11,2016-05-24,284.69,82802,11915,12
12,2016-05-06,204.55,59482,8682,8
13,2016-06-21,158.11,42095,6188,9
14,2016-04-08,384.78,68434,16457,16
15,2016-05-02,176.71,74143,7125,8
16,2016-05-19,55.480000000000004,33120,2267,2
17,2016-03-31,329.20000000000005,100194,13918,13
18,2016-04-09,410.31000000000006,121856,17408,16
19,2016-05-29,297.88,91450,12346,13
20,2016-04-07,167.01000000000002,26593,6959,8
21,2016-05-28,127.21000000000001,32587,4643,9
22,2016-05-25,280.37999999999994,66202,11808,12
23,2016-06-16,376.29999999999995,124069,15813,15
24,2016-06-01,46.989999999999995,5702,2020,2
25,2016-05-17,89.31,28844,3671,4
26,2016-06-15,165.70999999999998,59925,6849,7
27,2016-06-18,178.85999999999999,35712,7316,9
28,2016-04-26,238.97,52441,9746,12
29,2016-04-25,156.11,25560,6201,9
30,2016-04-12,155.95000000000002,28264,6370,8
31,2016-04-28,295.65,94743,12597,11
32,2016-04-21,149.68,23275,6274,7
33,2016-04-04,125.04,22826,4991,7
34,2016-04-05,293.7,83258,12382,12
35,2016-04-27,189.47,41545,7633,10
36,2016-06-08,121.6,20198,5027,6
37,2016-04-06,255.81,58813,10775,11
38,2016-05-07,135.13,22601,5324,8
39,2016-04-14,194.96999999999997,66750,8522,6
40,2016-05-11,34.25,6643,1348,2
41,2016-04-02,300.09000000000003,74291,11802,17
42,2016-04-30,189.85999999999999,38407,8067,8
43,2016-06-19,111.86,53338,4673,4
44,2016-05-16,33.56,26435,1367,1
45,2016-04-13,294.09000000000003,46304,12665,12
46,2016-04-17,212.52,36971,9064,9
47,2016-05-08,179.24,41753,6901,11
48,2016-06-07,29.34,5978,1097,2
49,2016-04-29,173.08999999999997,41231,7171,8
50,2016-05-27,55.2,9313,2227,3
51,2016-06-14,228.63000000000002,73824,9055,12
52,2016-04-22,236.18,45750,9844,11
53,2016-05-01,221.67,56487,8619,13
54,2016-05-23,72.81,18669,3079,3
55,2016-05-26,251.76000000000002,38871,10510,12
56,2016-05-18,78.42,18769,3175,4
57,2016-04-20,175.75,31440,7576,7
58,2016-05-21,60.66,9323,2512,3
59,2016-05-04,83.16,12396,3663,3
60,2016-06-25,92.68,15091,3750,5
61,2016-05-30,36.8,8616,1467,2
62,2016-04-11,59.71000000000001,14043,2428,3
63,2016-06-09,32.64,4035,1283,2
64,2016-04-19,83.54,17855,3253,5
65,2016-04-24,168.48000000000002,63369,6968,7
66,2016-05-09,36.99,9358,1472,2
67,2016-06-11,100.53,24662,4091,5
68,2016-04-18,37.15,15630,1631,1
69,2016-05-13,97.5,21514,4347,3
70,2016-06-10,45.03,5392,1724,3
71,2016-05-22,59.01,10338,2418,3
72,2016-05-05,100.41,35156,4401,3
73,2016-06-04,17.76,2500,713,1
74,2016-05-15,13.53,2144,495,1
