,date,fare,distance,duration,number of ride
0,2016-06-08,185.51999999999998,41810,7425,10
1,2016-05-14,303.65999999999997,113059,12103,15
2,2016-06-26,335.39,83874,14357,13
3,2016-06-24,218.14999999999998,67390,9140,9
4,2016-06-05,324.17,123843,12900,16
5,2016-06-04,144.47,69898,5865,6
6,2016-06-06,119.3,24666,4679,7
7,2016-06-02,193.1,51040,7950,9
8,2016-06-07,125.28,45794,5036,6
9,2016-05-27,126.88999999999999,40245,5160,6
10,2016-06-10,193.17000000000002,42963,7815,10
11,2016-05-30,193.32000000000002,42916,7432,12
12,2016-05-25,222.40000000000003,64084,9777,7
13,2016-05-21,173.09000000000003,46663,7132,8
14,2016-06-17,151.2,46989,6165,7
15,2016-06-15,119.17999999999999,36112,4982,5
16,2016-05-24,94.99000000000001,34961,3924,4
17,2016-06-16,217.19,66505,8510,12
18,2016-05-20,84.83,18948,3508,4
19,2016-06-13,210.70999999999998,57707,8038,13
20,2016-06-14,158.89,32619,6493,8
21,2016-06-21,74.50999999999999,14740,2804,5
22,2016-06-25,282.49,116362,11756,11
23,2016-05-28,256.90000000000003,72431,10930,10
24,2016-06-11,218.01,88481,9374,7
25,2016-06-09,38.71,9876,1316,3
26,2016-05-26,184.97000000000003,45427,7957,7
27,2016-06-12,49.870000000000005,34816,1962,2
28,2016-05-22,147.54000000000002,41587,5641,9
29,2016-05-29,68.11,17460,2842,3
30,2016-06-19,156.91,78407,6258,7
31,2016-06-01,100.01,23681,4071,5
32,2016-05-15,35.71,6870,1423,2
33,2016-05-16,23.86,4107,824,2
34,2016-05-13,62.86,17162,2766,2
