,date,fare,distance,duration,number of ride
0,2016-04-22,227.43999999999997,58752,9491,10
1,2016-06-03,185.86,33988,7302,11
2,2016-05-24,213.03000000000006,59181,8736,10
3,2016-05-25,261.29,92003,11215,9
4,2016-04-18,393.96,145383,18148,7
5,2016-06-04,269.49,53649,11329,12
6,2016-05-12,261.46000000000004,88956,10855,11
7,2016-06-20,320.65000000000003,134002,13231,13
8,2016-04-20,429.55999999999995,117569,18247,17
9,2016-04-25,184.66999999999996,51948,7308,10
10,2016-04-21,283.46000000000004,51012,11882,13
11,2016-06-14,274.19,82790,11172,13
12,2016-05-31,290.84999999999997,121580,11960,12
13,2016-04-19,88.53999999999999,14883,3340,6
14,2016-04-30,93.35,17679,3570,6
15,2016-06-24,305.83,155682,12889,10
16,2016-06-01,212.05,59821,8485,11
17,2016-06-02,89.19,62075,3624,3
18,2016-05-11,243.36,93087,10077,10
19,2016-05-13,201.32999999999998,63227,8683,7
20,2016-05-17,73.48,28043,3047,3
21,2016-04-26,169.05,35429,6611,10
22,2016-06-23,264.02,141983,10415,12
23,2016-04-28,175.35999999999996,61620,7145,8
24,2016-06-22,292.53000000000003,166233,12316,9
25,2016-06-21,226.23000000000002,68771,9160,11
26,2016-04-29,181.78,69275,7425,8
27,2016-05-16,174.65,72020,7033,8
28,2016-04-27,262.03,81070,10941,11
29,2016-05-19,176.56,76427,6906,9
30,2016-05-27,148.07999999999998,43374,6048,7
31,2016-05-03,124.65,62610,5274,4
