,date,fare,distance,duration,number of ride
0,2016-06-03,172.42,36764,7168,8
1,2016-05-12,298.32,57015,12419,14
2,2016-05-23,124.69,21587,5178,6
3,2016-05-11,95.74,17702,3891,5
4,2016-06-15,421.4700000000001,103532,17924,17
5,2016-05-26,309.7099999999999,63611,13163,13
6,2016-06-10,239.07,57654,9664,12
7,2016-06-02,163.43,33031,6725,8
8,2016-06-07,140.58,29940,5752,7
9,2016-06-09,203.22,36846,8579,9
10,2016-06-01,126.84,30742,5420,5
11,2016-04-21,96.04,15218,3924,5
12,2016-05-03,327.79999999999995,136656,13780,12
13,2016-06-06,206.5,34180,8573,10
14,2016-06-13,153.66000000000003,27556,6255,8
15,2016-05-02,150.37,32308,5854,9
16,2016-04-28,225.82999999999998,58348,9606,9
17,2016-04-25,163.10999999999999,28074,6549,9
18,2016-04-26,99.3,17515,3882,6
19,2016-05-13,104.27,18956,4327,5
20,2016-06-22,99.8,17236,4106,5
21,2016-05-19,219.21000000000004,53317,9100,10
22,2016-05-18,413.28999999999996,131000,19455,6
23,2016-04-22,139.68,36078,5661,7
24,2016-05-04,308.57000000000005,58958,12549,16
25,2016-06-14,203.68,31811,8444,10
26,2016-06-16,112.69,19486,4762,5
27,2016-05-25,121.78,16310,5259,5
28,2016-05-09,95.91999999999999,25416,3845,5
29,2016-05-10,158.64,34807,6464,8
30,2016-04-18,47.25,8464,1818,3
31,2016-04-19,63.050000000000004,11267,2622,3
32,2016-04-27,126.65,26120,5247,6
33,2016-05-20,60.39,11036,2485,3
34,2016-05-24,50.55,12925,1958,3
35,2016-06-08,5.0,3,55,1
36,2016-06-21,48.4,6591,2087,2
37,2016-04-17,14.19,1775,532,1
