,date,fare,distance,duration,number of ride
0,2016-06-25,251.99,70436,9710,15
1,2016-06-24,278.16999999999996,62733,11300,14
2,2016-06-26,216.59,50106,8594,12
3,2016-06-10,287.58,67039,11395,16
4,2016-06-18,310.44999999999993,178366,12969,10
5,2016-06-05,388.01,150699,15256,20
6,2016-05-21,323.71999999999997,81477,13373,15
7,2016-05-22,162.2,49696,6738,7
8,2016-05-15,192.99,59078,7258,12
9,2016-06-12,271.61,68676,10355,17
10,2016-06-11,369.71999999999997,110582,14978,18
11,2016-06-09,182.03,46976,7010,11
12,2016-06-23,139.28,47557,5558,7
13,2016-06-17,190.93,45160,7683,10
14,2016-05-14,121.77,21980,5023,6
15,2016-06-04,284.38000000000005,58959,11678,14
16,2016-05-23,100.39999999999999,35704,3810,6
17,2016-05-20,259.02,98341,10661,11
18,2016-05-13,5.12,31,71,1
19,2016-06-06,40.72,5360,1500,3
20,2016-06-03,110.34,37787,4094,7
