,date,fare,distance,duration,number of ride
0,2016-04-13,134.19,65120,5558,5
1,2016-05-14,111.37,43932,4519,5
2,2016-05-18,292.72999999999996,94387,11860,14
3,2016-04-11,200.65,46290,8182,10
4,2016-05-06,190.66,93987,7907,7
5,2016-05-05,234.17999999999998,111089,9470,10
6,2016-05-20,297.66,105789,11645,16
7,2016-04-27,179.11,71937,7658,6
8,2016-04-12,332.29,61485,13572,17
9,2016-04-22,200.48000000000002,47513,8165,10
10,2016-05-13,170.34,63184,7263,6
11,2016-04-26,331.89000000000004,128742,13854,13
12,2016-05-16,136.73,46435,5433,7
13,2016-04-25,196.71999999999997,111347,7904,8
14,2016-04-29,199.99,79278,7912,10
15,2016-05-07,58.68,22322,2511,2
16,2016-04-18,104.34,49186,4310,4
17,2016-05-02,269.19,72101,10596,15
18,2016-04-30,171.88,69809,6904,8
19,2016-05-12,178.88,64857,7305,8
20,2016-04-23,252.98999999999998,175323,10383,8
21,2016-05-03,59.599999999999994,20304,2182,4
22,2016-05-26,249.97000000000003,95841,10794,8
23,2016-04-19,299.2899999999999,115441,12445,12
24,2016-05-10,56.839999999999996,12428,2290,3
25,2016-04-21,113.10999999999999,34654,4676,5
26,2016-05-01,214.0,153565,9092,5
27,2016-05-19,210.23,93211,8739,8
28,2016-05-09,131.54000000000002,55317,5294,6
29,2016-05-17,453.28000000000003,347923,19407,9
30,2016-05-15,55.44,10422,2035,4
31,2016-05-04,116.59,46432,4578,6
32,2016-04-15,292.59,163538,12123,10
33,2016-04-17,57.55,37500,2344,2
34,2016-05-22,179.40000000000003,80641,7219,8
35,2016-04-14,145.49,64206,5958,6
36,2016-05-21,191.16,116734,8163,5
37,2016-05-11,8.55,2181,235,1
38,2016-05-08,109.06,58223,4688,3
39,2016-04-24,206.1,153630,8679,5
40,2016-04-20,74.59,38355,3031,3
41,2016-04-28,128.53,77567,5566,3
