,date,fare,distance,duration,number of ride
0,2016-06-03,194.12,41406,7485,12
1,2016-04-16,213.42,75720,8247,12
2,2016-04-25,161.17,43629,6728,7
3,2016-04-18,110.73,16247,4683,5
4,2016-04-27,125.05000000000001,30745,4935,7
5,2016-06-08,237.32999999999998,65467,9959,10
6,2016-06-15,112.78000000000002,15386,4601,6
7,2016-06-01,164.47,42314,6910,7
8,2016-04-15,142.04,30747,5039,11
9,2016-06-14,97.11999999999999,15923,3780,6
10,2016-05-02,68.05,14429,2665,4
11,2016-05-25,134.2,36751,5549,6
12,2016-05-30,229.99,83955,9052,12
13,2016-06-07,150.42999999999998,29942,5875,9
14,2016-05-14,135.85,42021,5614,6
15,2016-04-29,158.97,27320,6730,7
16,2016-06-06,112.17999999999998,24589,4504,6
17,2016-04-23,69.42,11401,2758,4
18,2016-05-28,156.92000000000002,53571,6240,8
19,2016-04-21,189.64,42617,8026,8
20,2016-05-20,193.92000000000002,67662,8070,8
21,2016-05-04,108.22999999999999,28588,4073,7
22,2016-05-05,278.74,73030,11674,12
23,2016-04-28,143.17000000000002,68222,6005,5
24,2016-04-26,71.86,15076,2859,4
25,2016-05-12,289.61,48429,12026,14
26,2016-05-18,245.0,108460,10640,7
27,2016-06-10,166.85,29427,6930,8
28,2016-04-17,24.06,11618,977,1
29,2016-06-23,128.88,57241,5142,6
30,2016-05-26,39.63,5969,1438,3
31,2016-05-27,163.89999999999998,29364,6973,7
32,2016-06-04,110.36999999999999,41070,4487,5
33,2016-05-03,115.58999999999999,38592,4778,5
34,2016-05-10,158.96,30209,6122,10
35,2016-05-16,76.76,15041,2920,5
36,2016-06-17,128.43,25892,5538,5
37,2016-04-22,139.48999999999998,34678,6052,5
38,2016-06-16,140.91,21132,5831,7
39,2016-06-02,172.37,121054,7347,4
40,2016-06-24,17.71,2723,709,1
41,2016-06-09,69.02000000000001,21963,3053,2
42,2016-05-19,34.22,4817,1360,2
43,2016-06-20,21.44,4030,894,1
