,date,fare,distance,duration,number of ride
0,2016-05-19,211.78000000000003,97546,9180,6
1,2016-04-20,43.94,20353,1756,2
2,2016-04-28,80.91000000000001,21052,3093,5
3,2016-05-24,69.5,13020,3142,2
4,2016-05-25,100.18,19124,4308,4
5,2016-04-29,12.68,4063,437,1
6,2016-05-26,44.72,11741,1858,2
7,2016-04-11,53.410000000000004,14685,1899,4
8,2016-05-03,140.33999999999997,94367,5671,5
9,2016-05-31,31.92,20041,1327,1
10,2016-04-10,124.67,42577,5614,3
11,2016-05-02,70.69,12907,2814,4
12,2016-05-23,47.379999999999995,16689,1962,2
13,2016-06-03,62.17,15793,2544,3
14,2016-05-30,53.34,18183,2262,2
15,2016-04-30,94.88000000000001,30815,3948,4
16,2016-06-06,12.85,2202,459,1
17,2016-05-27,23.75,7091,993,1
18,2016-05-21,13.61,3407,490,1
